row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Ngắn hạn > Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,7.707.985,889.238,7707985.0,889238.0
"Chi phí lãi vay, lãi cọc trích trước","Ngắn hạn > Chi phí lãi vay, lãi cọc trích trước","Chi phí lãi vay, lãi cọc trích trước",2.110.288,3.237.307,2110288.0,3237307.0
Chi phí bán hàng trích trước,Ngắn hạn > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,689.910,92.525,689910.0,92525.0
Chi phí phải trả ngắn hạn khác,Ngắn hạn > Chi phí phải trả ngắn hạn khác,Chi phí phải trả ngắn hạn khác,399.193,24.638,399193.0,24638.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,10.907.376,4.243.708,10907376.0,4243708.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả khác,Trong đó: > Chi phí phải trả khác,Chi phí phải trả khác,9.946.089,3.730.966,9946089.0,3730966.0
Chi phí phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Chi phí phải trả các bên liên quan (Thuyết minh số 33.2),Chi phí phải trả các bên liên quan (Thuyết minh số 33.2),961.287,512.742,961287.0,512742.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),Dài hạn > Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),823.311,164.798,823311.0,164798.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,823.311,164.798,823311.0,164798.0
