row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,5.313.263.220.000,5.088.056.394.992,(1.640.252.631.255),2.740.561.071.857,11.501.628.055.594,5313263220000.0,5088056394992.0,-1640252631255.0,2740561071857.0,11501628055594.0
Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),38.337.950.000,-,-,-,38.337.950.000,38337950000.0,,,,38337950000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.999.347.732.735,2.999.347.732.735,,,,2999347732735.0,2999347732735.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(1.452.567.034),(1.452.567.034),,,,-1452567034.0,-1452567034.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,(3.079.957.932.000),(3.079.957.932.000),,,,-3079957932000.0,-3079957932000.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,5.351.601.170.000,5.088.056.394.992,(1.640.252.631.255),2.658.498.305.558,11.457.903.239.295,5351601170000.0,5088056394992.0,-1640252631255.0,2658498305558.0,11457903239295.0
Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),30.000.000.000,-,-,-,30.000.000.000,30000000000.0,,,,30000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.598.417.872.350,2.598.417.872.350,,,,2598417872350.0,2598417872350.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,(2.896.096.655.200),(2.896.096.655.200),,,,-2896096655200.0,-2896096655200.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,5.381.601.170.000,5.088.056.394.992,(1.640.252.631.255),2.360.819.522.708,11.190.224.456.445,5381601170000.0,5088056394992.0,-1640252631255.0,2360819522708.0,11190224456445.0
