row_label_raw,row_label_full,Mối quan hệ,Tính chất giao dịch,Giá trị giao dịch > 2016VND,Giá trị giao dịch > 2015VND,Phải thu/(phải trả) tại ngày > 31/12/2016VND,Phải thu/(phải trả) tại ngày > 1/1/2016VND,numeric__Tính chất giao dịch,numeric__Giá trị giao dịch > 2016VND,numeric__Giá trị giao dịch > 2015VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2016VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2016VND
Parent company,Parent company,Parent company,Parent company,Parent company,Parent company,Parent company,Parent company,,,,,
Công ty TNHH,Parent company > Công ty TNHH,Công ty TNHH,Thu hồi khoản cho vay,-,9.619.772.870.265,-,-,,,9619772870265.0,,
MasanConsumerHoldings,Parent company > MasanConsumerHoldings,MasanConsumerHoldings,Thu nhập lãi từ khoản cho vay,,533.086.759.239,-,-,,,533086759239.0,,
MasanConsumerHoldings,Parent company > MasanConsumerHoldings,MasanConsumerHoldings,Thu hồi lãi từ khoản cho vay,-,552.062.749.559,-,-,,,552062749559.0,,
MasanConsumerHoldings,Parent company > MasanConsumerHoldings,MasanConsumerHoldings,Cổ tức đã phân phối,2.799.261.836.000,2.413.111.542.000,-,-,,2799261836000.0,2413111542000.0,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,,,
Công ty TNHH Một Thành viên Thực phẩm Masan,Subsidiaries > Công ty TNHH Một Thành viên Thực phẩm Masan,Công ty TNHH Một Thành viên Thực phẩm Masan,Lợi nhuận được phân phối (**),2.504.891.584.051,2.474.860.474.330,10.925.756.293,152.518.462.649,,2504891584051.0,2474860474330.0,10925756293.0,152518462649.0
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Bán hàng hóa,216.813.632.511,312.201.413.098,-,-,,216813632511.0,312201413098.0,,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Mua hàng hóa,3.806.669.294.926,4.947.712.183.820,(268.490.649.315),(508.010.104.440),,3806669294926.0,4947712183820.0,-268490649315.0,-508010104440.0
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Chi phí lãi vay,-,201.240.670.579,-,-,,,201240670579.0,,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Thu hồi các khoản cho vay,6.100.000.000,-,-,-,,6100000000.0,,,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Thanh toán các khoản vay,-,2.874.312.071.533,-,-,,,2874312071533.0,,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Cho vay,3.559.078.712.592,-,1.663.716.876.592,-,,3559078712592.0,,1663716876592.0,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Thu hồi khoản cho vay thông qua cấn trừ cổ tức phải trả,1.889.261.836.000,-,-,-,,1889261836000.0,,,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Thu nhập lãi cho vay,114.905.802.559,-,114.905.802.559,-,,114905802559.0,,114905802559.0,
Công ty TNHH Một Thành viên Công nghiệp Masan,Subsidiaries > Công ty TNHH Một Thành viên Công nghiệp Masan,Công ty TNHH Một Thành viên Công nghiệp Masan,Phân phối lợi nhuận (**),-,-,845.466.699.032,1.038.200.444.756,,,,845466699032.0,1038200444756.0
Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Subsidiaries > Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Mua hàng hóa,956.987.322.695,888.640.834.751,(293.403.208.653),(344.787.532.659),,956987322695.0,888640834751.0,-293403208653.0,-344787532659.0
Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Subsidiaries > Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Bán hàng hóa,19.777.683.529,22.024.296.921,-,-,,19777683529.0,22024296921.0,,
Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Subsidiaries > Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến,Phân phối lợi nhuận (**),-,-,209.362.343.040,254.925.839.485,,,,209362343040.0,254925839485.0
