row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.874.006.264,10.622.457.648,22.524.526.753,3.630.219.980,16.372.102.122,55.023.312.767,1874006264.0,10622457648.0,22524526753.0,3630219980.0,16372102122.0,55023312767.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,66.200.000,48.750.000,-,114.950.000,,,66200000.0,48750000.0,,114950000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,52.258.545.361,-,-,,52.258.545.361,,52258545361.0,,,,52258545361.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(362.325.521),(7.192.578.331),(1.215.950.855),-,(75.821.200),(8.846.675.907),-362325521.0,-7192578331.0,-1215950855.0,,-75821200.0,-8846675907.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.511.680.743,55.688.424.678,21.374.775.898,3.678.969.980,16.296.280.922,98.550.132.221,1511680743.0,55688424678.0,21374775898.0,3678969980.0,16296280922.0,98550132221.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.579.470.516,9.215.700.908,8.255.543.741,2.105.676.722,12.203.591.624,33.359.983.511,1579470516.0,9215700908.0,8255543741.0,2105676722.0,12203591624.0,33359983511.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,28.479.623,10.268.545.627,2.060.559.380,501.583.141,1.090.093.595,13.949.261.366,28479623.0,10268545627.0,2060559380.0,501583141.0,1090093595.0,13949261366.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(96.269.396),(7.102.686.302),(763.332.386),-,(54.759.748),(8.017.047.832),-96269396.0,-7102686302.0,-763332386.0,,-54759748.0,-8017047832.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.511.680.743,12.381.560.233,9.552.770.735,2.607.259.863,13.238.925.471,39.292.197.045,1511680743.0,12381560233.0,9552770735.0,2607259863.0,13238925471.0,39292197045.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,294.535.748,1.406.756.740,14.268.983.012,1.524.543.258,4.168.510.498,21.663.329.256,294535748.0,1406756740.0,14268983012.0,1524543258.0,4168510498.0,21663329256.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,43.306.864.445,11.822.005.163,1.071.710.117,3.057.355.451,59.257.935.176,,43306864445.0,11822005163.0,1071710117.0,3057355451.0,59257935176.0
