row_label_raw,row_label_full,STT,Chỉ tiêu,Năm 2016 (VND),Năm 2015 (VND),Biến động > Giá trị,Biến động > Tỷ lệ (%),numeric__Chỉ tiêu,numeric__Năm 2016 (VND),numeric__Năm 2015 (VND),numeric__Biến động > Giá trị,numeric__Biến động > Tỷ lệ (%)
1,1,1,Doanh thu thuần,9.983.989.372.533,10.102.362.780.687,(118.373.408.154),-1%,,9983989372533.0,10102362780687.0,-118373408154.0,-0.01
2,2,2,Thu nhập hoạt động đầu tư tài chính (i),2.829.725.030.129,3.223.719.251.769,(393.994.221.640),-12%,,2829725030129.0,3223719251769.0,-393994221640.0,-0.12
3,3,3,Lợi nhuận sau thuế TNDN,2.598.417.872.350,2.999.347.732.735,(400.929.860.385),-13%,,2598417872350.0,2999347732735.0,-400929860385.0,-0.13
