row_label_raw,row_label_full,col_0,Mãsố,2016VND,2015VND,numeric__Mãsố,numeric__2016VND,numeric__2015VND
LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuế,LU'U CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,01,2.621.864.401.128,3.158.089.055.202,1.0,2621864401128.0,3158089055202.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,45.464.450.213,21.052.381.892,2.0,45464450213.0,21052381892.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,9.503.958.579,-,3.0,9503958579.0,
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,26.357.930,91.954.845,4.0,26357930.0,91954845.0
Lỗ/(lãi) từ thanh lý tài sản cố định và chi phí xây dựng cơ bản dở dang,Điều chỉnh cho các khoản > Lỗ/(lãi) từ thanh lý tài sản cố định và chi phí xây dựng cơ bản dở dang,Lỗ/(lãi) từ thanh lý tài sản cố định và chi phí xây dựng cơ bản dở dang,05,1.726.020.769,(50.000.000),5.0,1726020769.0,-50000000.0
"Thu nhập lãi, lợi nhuận được phân phối và thu nhập khác từ các hoạt động đầu tư","Điều chỉnh cho các khoản > Thu nhập lãi, lợi nhuận được phân phối và thu nhập khác từ các hoạt động đầu tư","Thu nhập lãi, lợi nhuận được phân phối và thu nhập khác từ các hoạt động đầu tư",05,(2.891.333.787.157),(3.520.829.569.983),5.0,-2891333787157.0,-3520829569983.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,61.931.658.334,274.251.034.939,6.0,61931658334.0,274251034939.0
Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,(150.816.940.204),(67.395.143.105),8.0,-150816940204.0,-67395143105.0
Biến động các khoản phải thu,Điều chỉnh cho các khoản > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(89.575.534.425),18.323.295.000,9.0,-89575534425.0,18323295000.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(14.532.541.650),(9.523.636.444),10.0,-14532541650.0,-9523636444.0
Biến động các khoản phải trả và nợ phải trả khác,Điều chỉnh cho các khoản > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,120.547.947.949,(52.033.933.326),11.0,120547947949.0,-52033933326.0
Biến động chi phí trả trước,Điều chỉnh cho các khoản > Biến động chi phí trả trước,Biến động chi phí trả trước,12,772.568.899,(3.512.557.038),12.0,772568899.0,-3512557038.0
,,,,(133.604.499.431),(114.141.974.913),,-133604499431.0,-114141974913.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(61.342.661.027),(401.850.265.801),14.0,-61342661027.0,-401850265801.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(66.057.681.306),(490.036.235.694),15.0,-66057681306.0,-490036235694.0
Lưu chuyển tiền thuần từ các hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ các hoạt động kinh doanh,Lưu chuyển tiền thuần từ các hoạt động kinh doanh,20,(261.004.841.764),(1.006.028.476.408),20.0,-261004841764.0,-1006028476408.0
