row_label_raw,row_label_full,col_0,Công cụ và dụng cụ,Công cụ và dụng cụ_1,numeric__Công cụ và dụng cụ,numeric__Công cụ và dụng cụ_1
,,,2016VND,2015VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.754.250.001,3.381.423.440,2754250001.0,3381423440.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,3.072.693.342,609.965.753,3072693342.0,609965753.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,11.933.354.066,1.143.242.630,11933354066.0,1143242630.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(5.314.763.396),(2.380.381.822),-5314763396.0,-2380381822.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,12.445.534.013,2.754.250.001,12445534013.0,2754250001.0
