row_label_raw,row_label_full,col_0,Phần mềmmáy vi tínhVND,Thương hiệuVND,Tổng cộngVND,numeric__Phần mềmmáy vi tínhVND,numeric__Thương hiệuVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,251.458.065.408,636.363.636,252.094.429.044,251458065408.0,636363636.0,252094429044.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,22.968.624.116,-,22.968.624.116,22968624116.0,,22968624116.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,274.426.689.524,636.363.636,275.063.053.160,274426689524.0,636363636.0,275063053160.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,25.176.984.822,622.727.277,25.799.712.099,25176984822.0,622727277.0,25799712099.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,31.501.552.488,13.636.359,31.515.188.847,31501552488.0,13636359.0,31515188847.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,56.678.537.310,636.363.636,57.314.900.946,56678537310.0,636363636.0,57314900946.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,226.281.080.586,13.636.359,226.294.716.945,226281080586.0,13636359.0,226294716945.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,217.748.152.214,-,217.748.152.214,217748152214.0,,217748152214.0
