row_label_raw,row_label_full,col_0,col_1,Tại ngày đầu năm VND,Số phải nộp/ phát sinh trong năm VND,Số đã thực nộp trong năm VND,Cán trừ/phân loại lại trong năm VND,Tại ngày cuối năm VND,numeric__col_1,numeric__Tại ngày đầu năm VND,numeric__Số phải nộp/ phát sinh trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Cán trừ/phân loại lại trong năm VND,numeric__Tại ngày cuối năm VND
a),a),a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
a),a) > a),a),Thuế TNDN,662.518.012,-,-,(662.518.012),-,,662518012.0,,,-662518012.0,
a),a) > a),a),Thuế GTGT được khấu trừ,-,8.537.158.450,-,(8.537.158.450),-,,,8537158450.0,,-8537158450.0,
a),a) > a),a),Thuế thu nhập cá nhân,-,199.901.057,-,(199.901.057),-,,,199901057.0,,-199901057.0,
a),a) > a),a),Các loại thuế và phí khác,-,-,-,126.889.936,126.889.936,,,,,126889936.0,126889936.0
a),a) > a),a),,662.518.012,8.737.059.507,-,(9.272.687.583),126.889.936,,662518012.0,8737059507.0,,-9272687583.0,126889936.0
b),b),b),Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,,,
b),b) > b),b),Thuế GTGT,10.841.030.463,56.259.747.031,(52.530.739.829),(8.537.158.450),6.032.879.215,,10841030463.0,56259747031.0,-52530739829.0,-8537158450.0,6032879215.0
b),b) > b),b),Thuế tài nguyên,5.921.301.377,19.681.218.056,(21.483.851.042),-,4.118.668.391,,5921301377.0,19681218056.0,-21483851042.0,,4118668391.0
b),b) > b),b),Thuế TNDN,-,4.118.389.665,(1.084.343.794),(662.518.012),2.371.527.859,,,4118389665.0,-1084343794.0,-662518012.0,2371527859.0
b),b) > b),b),Thuế thu nhập cá nhân,1.209.378.005,6.306.174.865,(6.093.432.575),(199.901.057),1.222.219.238,,1209378005.0,6306174865.0,-6093432575.0,-199901057.0,1222219238.0
b),b) > b),b),Các loại thuế và phí khác,3.062.660.767,3.350.140.282,(6.163.510.128),126.889.936,376.180.857,,3062660767.0,3350140282.0,-6163510128.0,126889936.0,376180857.0
b),b) > b),b),,21.034.370.612,89.715.669.899,(87.355.877.368),(9.272.687.583),14.121.475.560,,21034370612.0,89715669899.0,-87355877368.0,-9272687583.0,14121475560.0
