row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(hoản nhập) trong năm (Thuyết minh 26),Năm nay VND > 31.089.602.048 > 62.631.667.928,Năm trước VND > 44.740.696.676 > (13.415.227.418),numeric__Năm nay VND > 31.089.602.048 > 62.631.667.928,numeric__Năm trước VND > 44.740.696.676 > (13.415.227.418)
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,(7.022.724.757),(235.867.210),-7022724757.0,-235867210.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,86.698.545.219,31.089.602.048,86698545219.0,31089602048.0
