row_label_raw,row_label_full,Bên liên quan (Thuyết minh 32(b)),Số cuối năm > Giá trị VND > Bên liên quan (Thuyết minh 32(b)),Số cuối năm > Dự Phòng VND > Bên liên quan (Thuyết minh 32(b)),Số đầu năm > Giá trị VND > Bên liên quan (Thuyết minh 32(b)),Số đầu năm > Dự Phòng VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số cuối năm > Giá trị VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số cuối năm > Dự Phòng VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số đầu năm > Giá trị VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số đầu năm > Dự Phòng VND > Bên liên quan (Thuyết minh 32(b))
Công ty Cổ phần Thủy điện Trường Phú (i),Công ty Cổ phần Thủy điện Trường Phú (i),Công ty Cổ phần Thủy điện Trường Phú (i),168.900.000.000,-,135.327.376.270,-,168900000000.0,,135327376270.0,
Công ty Cổ phần Năng lượng Điện gió Tiền Giang (ii),Công ty Cổ phần Năng lượng Điện gió Tiền Giang (ii),Công ty Cổ phần Năng lượng Điện gió Tiền Giang (ii),73.000.000.000,-,153.340.000.000,-,73000000000.0,,153340000000.0,
,,,241.900.000.000,-,288.667.376.270,,241900000000.0,,288667376270.0,
