row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị hợp lý VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị hợp lý VND,numeric__Số đầu năm > Dự phòng VND
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,544.162.584.932,(*),-,544.162.584.932,(*),-,544162584932.0,,,544162584932.0,,
Công ty Cổ phần Năng lượng điện gió Tiền Giang,Công ty Cổ phần Năng lượng điện gió Tiền Giang,Công ty Cổ phần Năng lượng điện gió Tiền Giang,1.360.624.800.000,(**),(69.568.996.965),1.223.124.800.000,(**),-,1360624800000.0,,-69568996965.0,1223124800000.0,,
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,1.037.312.640.000,(**),-,1.037.312.640.000,(**),-,1037312640000.0,,,1037312640000.0,,
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,590.990.260.000,(**),-,590.990.260.000,(**),-,590990260000.0,,,590990260000.0,,
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,348.843.130.000,(**),-,348.843.130.000,(**),-,348843130000.0,,,348843130000.0,,
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,258.000.000.000,(**),-,258.000.000.000,(**),-,258000000000.0,,,258000000000.0,,
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,148.500.000.000,(**),-,44.600.000.000,(**),-,148500000000.0,,,44600000000.0,,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,81.206.201.240,(**),-,81.206.201.240,(**),-,81206201240.0,,,81206201240.0,,
Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công Ty Cổ phần Năng lượng Tái tạo Tiền Giang,3.400.000.000,(**),(148.095.190),3.400.000.000,(**),(80.129.330),3400000000.0,,-148095190.0,3400000000.0,,-80129330.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,1.500.000.000,(**),(221.058.071),1.500.000.000,(**),-,1500000000.0,,-221058071.0,1500000000.0,,
Công ty Cổ phần Năng lượng Cà Mau Xanh,Công ty Cổ phần Năng lượng Cà Mau Xanh,Công ty Cổ phần Năng lượng Cà Mau Xanh,1.900.000.000,(**),(30.437.427),-,(**),-,1900000000.0,,-30437427.0,,,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,-,-,-,17.197.314.737,(**),(7.022.724.757),,,,17197314737.0,,-7022724757.0
,,,4.376.439.616.172,,(69.968.587.653),4.150.336.930.909,,(7.102.854.087),4376439616172.0,,-69968587653.0,4150336930909.0,,-7102854087.0
