row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,Số cuối năm VND > 3.978.628.277 > 318.181.819,Số đầu năm VND > 10.479.198.104 > 6.288.999.039,numeric__Số cuối năm VND > 3.978.628.277 > 318.181.819,numeric__Số đầu năm VND > 10.479.198.104 > 6.288.999.039
Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,-,(7.870.451.763),,-7870451763.0
Xóa số,Xóa số,Xóa số,(167.037.368),(4.919.117.103),-167037368.0,-4919117103.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.129.772.728,3.978.628.277,4129772728.0,3978628277.0
