row_label_raw,row_label_full,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Vay,Vay,Vay,25.000.000.000,-,25000000000.0,
Trả nợ vay,Trả nợ vay,Trả nợ vay,25.000.000.000,-,25000000000.0,
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,7.740.000.000,-,7740000000.0,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,6.665.920.000,3.337.517.400,6665920000.0,3337517400.0
Lãi vay,Lãi vay,Lãi vay,383.342.467,-,383342467.0,
Giảm chi phí chi hộ,Giảm chi phí chi hộ,Giảm chi phí chi hộ,146.858.986,-,146858986.0,
"Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần",-,878.003.017,,878003017.0
Gớp vốn,Gớp vốn,Gớp vốn,103.900.000.000,5.000.000.000,103900000000.0,5000000000.0
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,30.571.440.000,7.777.627.200,30571440000.0,7777627200.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,4.455.000.000,-,4455000000.0,
"Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần",136.660.225,193.526.957,136660225.0,193526957.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",101.280.000,-,101280000.0,
"Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần",-,85.799.925,,85799925.0
Gớp vốn,Gớp vốn,Gớp vốn,1.900.000.000,-,1900000000.0,
"Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần",1.882.549.937,-,1882549937.0,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,28.623.656,-,28623656.0,
"Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần","Thu, chi hộ, dòng tiền thuần",1.048.148,-,1048148.0,
