row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Mua hàng hóa và dịch vụ,448.854.040,34.606.682,,448854040.0,34606682.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Cho vay,57.400.000.000,189.151.476.270,,57400000000.0,189151476270.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Thu hồi khoản cho vay,39.900.000.000,141.000.000.000,,39900000000.0,141000000000.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay,10.746.047.248,12.564.309.887,,10746047248.0,12564309887.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay nhập gốc,9.672.623.730,-,,9672623730.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Phân loại lại phải thu khác thành cho vay,6.400.000.000,-,,6400000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Doanh thu bán hàng và cung cấp dịch vụ,237.600.000,-,,237600000.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Mua hàng hóa và dịch vụ,-,560.700.682,,,560700682.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,"Thu, chi hộ, dòng tiền thuần",-,112.943.803,,,112943803.0
Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Doanh thu bán hàng và cung cấp dịch vụ,66.720.000,66.720.000,,66720000.0,66720000.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua dịch vụ,5.954.150.366,5.920.336.577,,5954150366.0,5920336577.0
Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Mua hàng hóa dịch vụ,1.032.628.200,1.794.713.866,,1032628200.0,1794713866.0
Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du lịch Thành Thành Công Lâm Đồng,Mua hàng hóa và dịch vụ,352.330.034,213.074.075,,352330034.0,213074075.0
Công ty Cổ phần Thương mại Dịch vụ Y tế DHA,Công ty Cổ phần Thương mại Dịch vụ Y tế DHA,Công ty Cổ phần Thương mại Dịch vụ Y tế DHA,Mua hàng hóa và dịch vụ,436.150.000,380.570.370,,436150000.0,380570370.0
