row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Giảm VND,Vay dài hạn đáo hạn trong vòng một năm VND,Đánh giá lại VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Vay dài hạn đáo hạn trong vòng một năm VND,numeric__Đánh giá lại VND,numeric__Tại ngày cuối năm VND
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),908.500.000.000,426.500.000.000,(357.833.333.333),(136.833.333.332),-,840.333.333.335,908500000000.0,426500000000.0,-357833333333.0,-136833333332.0,,840333333335.0
Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),1.184.657.966.679,-,(172.525.030.848),(848.615.235.831),-,163.517.700.000,1184657966679.0,,-172525030848.0,-848615235831.0,,163517700000.0
Vay bên thứ ba (iii),Vay bên thứ ba (iii),Vay bên thứ ba (iii),213.390.000.000,-,-,-,(1.800.000.000),211.590.000.000,213390000000.0,,,,-1800000000.0,211590000000.0
,,,2.306.547.966.679,426.500.000.000,(530.358.364.181),(985.448.569.163),(1.800.000.000),1.215.441.033.335,2306547966679.0,426500000000.0,-530358364181.0,-985448569163.0,-1800000000.0,1215441033335.0
