row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,180.597.600,10.000.000,180597600.0,10000000.0
Công ty TNHH Kasekam Youveakchun Sway Rieng,Công ty TNHH Kasekam Youveakchun Sway Rieng,Công ty TNHH Kasekam Youveakchun Sway Rieng,88.200.000,60.000.000,88200000.0,60000000.0
Công ty TNHH MTV Nhiệt diện Ninh Hòa,Công ty TNHH MTV Nhiệt diện Ninh Hòa,Công ty TNHH MTV Nhiệt diện Ninh Hòa,23.220.000,199.080.000,23220000.0,199080000.0
Công ty TNHH MTV Mia đường TTC Attapeu,Công ty TNHH MTV Mia đường TTC Attapeu,Công ty TNHH MTV Mia đường TTC Attapeu,-,110.000.000,,110000000.0
,,,292.017.600,379.080.000,292017600.0,379080000.0
Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),Trả trước cho người bán ngắn hạn (Thuyết minh 5),,
Công ty Cổ phần Toàn Hải Vân,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,764.356.515,-,764356515.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Trả trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,47.000.000.000,,47000000000.0
,,,764.356.515,47.000.000.000,764356515.0,47000000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,168.900.000.000,135.327.376.270,168900000000.0,135327376270.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,73.000.000.000,153.340.000.000,73000000000.0,153340000000.0
,,,241.900.000.000,288.667.376.270,241900000000.0,288667376270.0
Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 7) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,1.811.136.522,1.264.291.379,1811136522.0,1264291379.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
Người mua trả tiền trước ngắn hạn (Thuyết minh 14),Người mua trả tiền trước ngắn hạn (Thuyết minh 14),Người mua trả tiền trước ngắn hạn (Thuyết minh 14),Người mua trả tiền trước ngắn hạn (Thuyết minh 14),Người mua trả tiền trước ngắn hạn (Thuyết minh 14),,
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,Người mua trả tiền trước ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,4.385.224.800,-,4385224800.0,
Công ty Cổ phần Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
,,,5.385.224.800,1.000.000.000,5385224800.0,1000000000.0
Vay ngắn hạn (Thuyết minh 18),Vay ngắn hạn (Thuyết minh 18),Vay ngắn hạn (Thuyết minh 18),Vay ngắn hạn (Thuyết minh 18),Vay ngắn hạn (Thuyết minh 18),,
Công ty Cổ phần Năng lượng VPL,Vay ngắn hạn (Thuyết minh 18) > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,89.000.000.000,-,89000000000.0,
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Vay ngắn hạn (Thuyết minh 18) > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,32.000.000.000,-,32000000000.0,
,,,121.000.000.000,-,121000000000.0,
