row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.035.226.568.284,1.734.140.173.337,190.795.554.932,37.957.928.198,28.823.711.263,3.026.943.936.014,1035226568284.0,1734140173337.0,190795554932.0,37957928198.0,28823711263.0,3026943936014.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.696.684.071,-,69.666.182,645.779.818,3.412.130.071,,2696684071.0,,69666182.0,645779818.0,3412130071.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,,4.464.887.704,-,-,-,4.464.887.704,,4464887704.0,,,,4464887704.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(5.046.390.126),-,-,-,(5.046.390.126),,-5046390126.0,,,,-5046390126.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.035.226.568.284,1.736.255.354.986,190.795.554.932,38.027.594.380,29.469.491.081,3.029.774.563.663,1035226568284.0,1736255354986.0,190795554932.0,38027594380.0,29469491081.0,3029774563663.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,370.206.409.364,484.248.251.661,77.871.886.120,26.820.356.880,15.707.316.827,974.854.220.852,370206409364.0,484248251661.0,77871886120.0,26820356880.0,15707316827.0,974854220852.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.599.304.088,86.720.580.636,9.143.368.607,3.395.554.730,3.597.916.422,144.456.724.483,41599304088.0,86720580636.0,9143368607.0,3395554730.0,3597916422.0,144456724483.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(1.369.861.915),-,-,-,(1.369.861.915),,-1369861915.0,,,,-1369861915.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,411.805.713.452,569.598.970.382,87.015.254.727,30.215.911.610,19.305.233.249,1.117.941.083.420,411805713452.0,569598970382.0,87015254727.0,30215911610.0,19305233249.0,1117941083420.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,665.020.158.920,1.249.891.921.676,112.923.668.812,11.137.571.318,13.116.394.436,2.052.089.715.162,665020158920.0,1249891921676.0,112923668812.0,11137571318.0,13116394436.0,2052089715162.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,623.420.854.832,1.166.656.384.604,103.780.300.205,7.811.682.770,10.164.257.832,1.911.833.480.243,623420854832.0,1166656384604.0,103780300205.0,7811682770.0,10164257832.0,1911833480243.0
