row_label_raw,row_label_full,col_0,Số tiền cam kết sẽ góp VND,Số tiền đã thực góp VND,Số tiền còn phải góp VND,numeric__Số tiền cam kết sẽ góp VND,numeric__Số tiền đã thực góp VND,numeric__Số tiền còn phải góp VND
Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,249.990.000.000,3.400.000.000,246.590.000.000,249990000000.0,3400000000.0,246590000000.0
Công ty Cổ phần Năng lượng Tái tạo Tân Thành,Công ty Cổ phần Năng lượng Tái tạo Tân Thành,Công ty Cổ phần Năng lượng Tái tạo Tân Thành,199.800.000.000,-,199.800.000.000,199800000000.0,,199800000000.0
Công ty Cổ phần Năng lượng Xanh Cà Mau,Công ty Cổ phần Năng lượng Xanh Cà Mau,Công ty Cổ phần Năng lượng Xanh Cà Mau,149.900.000.000,1.900.000.000,148.000.000.000,149900000000.0,1900000000.0,148000000000.0
,,,599.690.000.000,5.300.000.000,594.390.000.000,599690000000.0,5300000000.0,594390000000.0
