row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 647.830.456.825 > 2.308.382.812.750,VNDNăm trước > 415.565.947.928 > 582.232.211.940,numeric__Năm nay > 647.830.456.825 > 2.308.382.812.750,numeric__VNDNăm trước > 415.565.947.928 > 582.232.211.940
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(687.830.456.825),(349.967.703.043),-687830456825.0,-349967703043.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(22.504.545.454),-,-22504545454.0,
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,1.262.500.000,-,1262500000.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.247.140.767.296,647.830.456.825,2247140767296.0,647830456825.0
