row_label_raw,row_label_full,Trả trước cho bên khác- Công ty TNHH Một thành viên Đầu tư và Phát triển Du lịch Khang Hưng- Tổng Công ty Xây dựng Thủy lợi 4 - Công ty Cổ phần- Công ty TNHH Xây dựng Thương mại Dịch vụ An Thiên Phú- Công ty Cổ phần C.T - Phương Nam- Khác > Trả trước cho bên liên quan (Thuyết minh số 32),Số cuối năm > 106.188.159.97125.843.043.63224.000.000.0009.816.978.3119.000.000.00037.528.138.028-,VND Số đầu năm > 43.814.076.152--9.000.000.00034.814.076.15210.225.707.691,numeric__Số cuối năm > 106.188.159.97125.843.043.63224.000.000.0009.816.978.3119.000.000.00037.528.138.028-,numeric__VND Số đầu năm > 43.814.076.152--9.000.000.00034.814.076.15210.225.707.691
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,106.188.159.971,54.039.783.843,106188159971.0,54039783843.0
Dự phòng trả trước cho người bán ngắn hạn (Thuyết minh số 10),Dự phòng trả trước cho người bán ngắn hạn (Thuyết minh số 10),Dự phòng trả trước cho người bán ngắn hạn (Thuyết minh số 10),(947.792.777),(947.792.777),-947792777.0,-947792777.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,105.240.367.194,53.091.991.066,105240367194.0,53091991066.0
