row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Vidoland,Vidoland,Vidoland,Công ty con,Nhận vốn gópHĐHTKDCho vayLãi từ cho vayGóp vốn,127.000.000.000131.700.0003.124.216-,---128.000.000.000,,,,
Công ty Cổ phầnĐầu tư và Phát triển Địa ốcNam Sài Gòn,Vidoland > Công ty Cổ phầnĐầu tư và Phát triển Địa ốcNam Sài Gòn,Công ty Cổ phầnĐầu tư và Phát triển Địa ốcNam Sài Gòn,Bên liên quan,Chi tạm ứngLãi từ cho vayChi hộ,100.000.000.000430.521.89320.000.000,---,,,1.0000000000043052e+28,
In Nông Nghiệp,Vidoland > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Nhận vốn gópHĐHTKDGóp vốn,75.500.000.000-,-61.000.000.000,,,,-61000000000.0
Vicco Saigon,Vidoland > Vicco Saigon,Vicco Saigon,Công ty con,Góp vốnTạm ứng vốnChi hộ,56.942.759.547-,8.186.017.7041.081.535.162488.430.000,,,,8.186017704108153e+28
Xây dựng FBV,Vidoland > Xây dựng FBV,Xây dựng FBV,Công ty con,Chi phí xây dựng dự ánỨng trước bên bánDịch vụ cho thuêvăn phòng,43.165.306.0378.300.000.000262.891.524,-100.000.000.000262.891.524,,,4.316530603783e+29,-1.000000000002629e+20
Long Kim Phát,Vidoland > Long Kim Phát,Long Kim Phát,Công ty con,Góp vốnDoanh thu dịch vụ BĐS,33.500.000.0002.164.717.457,9.000.000.000895.239.784,,,3.350000000021647e+20,9.00000000089524e+18
Đất XanhĐông Nam Bộ,Vidoland > Đất XanhĐông Nam Bộ,Đất XanhĐông Nam Bộ,Công ty con,Vốn góp HĐHTKDDoanh thu dịch vụ BĐSCổ tứcGóp vốnPhí thương hiệu,21.000.000.00011.008.894.0056.987.000.0006.630.000.00030.000.000,----1.610.625.9001.530.000.00030.000.000,,,2.1000000000110088e+49,
Đất XanhNha Trang,Vidoland > Đất XanhNha Trang,Đất XanhNha Trang,Công ty con,Vốn góp HĐHTKDDoanh thu dịch vụ BĐS,11.438.323.0008.490.335.829,----25.000.000.0002.055.721.904,,,1.1438323000849033e+20,
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Cổ tứcTạm ứng vốn,-,-,,,,
Ông Nguyễn Khánh Hưng,Hà Thuận Hùng > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,"Phó Chủ tịch Hội đồng Quản trị (""HĐQT"")",Doanh thu bán căn hộ,2.178.628.216,-,,,2178628216.0,
Ông Lương Trí Thảo,Hà Thuận Hùng > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HĐQT,Doanh thu bán đất Tạm ứng mua dự án,1.070.000.000-,-1.100.000.000,,,,-1100000000.0
Ông Lương Trí Tú,Hà Thuận Hùng > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bán căn hộ,404.725.202,-,,,404725202.0,
