row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,22.727.299.115,22727299115.0
Kết chuyển từ hàng tồn kho,Nguyên giá: > Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,7.856.151.056,7856151056.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,30.583.450.171,30583450171.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(1.114.646.771),-1114646771.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(823.044.582),-823044582.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(1.937.691.353),-1937691353.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,21.612.652.344,21612652344.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,28.645.758.818,28645758818.0
