row_label_raw,row_label_full,Bất động sản đầu tư cho thuê(Thuyết minh số 14.1),Số cuối năm > 28.645.758.818,VND Số đầu năm > 21.612.652.344,numeric__Số cuối năm > 28.645.758.818,numeric__VND Số đầu năm > 21.612.652.344
Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,-,16.225.817.015,,16225817015.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,28.645.758.818,37.838.469.359,28645758818.0,37838469359.0
