row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Đất Xanh Hội An,Phải trả khác > Đất Xanh Hội An,Đất Xanh Hội An,Công ty con,Vốn nhận từ HĐHTKD,997.000.000.000,-,,,997000000000.0,
Saigon Riverside,Phải trả khác > Saigon Riverside,Saigon Riverside,Công ty con,Vốn nhận từ HĐHTKD,711.500.000.000,-,,,711500000000.0,
Xuân Định,Phải trả khác > Xuân Định,Xuân Định,Công ty con,Vốn nhận từ HĐHTKD,132.000.000.000,-,,,132000000000.0,
Vidoland,Phải trả khác > Vidoland,Vidoland,Công ty con,Vốn nhận từ HĐHTKD,127.000.000.000,-,,,127000000000.0,
Đất Xanh Miền Bắc,Phải trả khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Chuyển nhượng cổ phần,126.150.812.000,-,,,126150812000.0,
In Nông Nghiệp,Phải trả khác > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Vốn nhận từ HĐHTKD,75.500.000.000,-,,,75500000000.0,
Long Kim Phát,Phải trả khác > Long Kim Phát,Long Kim Phát,Công ty con,Thu hộ tiền dự án,51.117.576.503,37.941.324.672,,,51117576503.0,37941324672.0
Hà Thuận Hùng,Phải trả khác > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Thu hộ tiền dự án,808.127.552,559.274.014,,,808127552.0,559274014.0
Ông Lương Trí Thảo,Phải trả khác > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HDQT,Khác,552.459.000,552.459.000,,,552459000.0,552459000.0
Đất Xanh Miền Nam,Phải trả khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Thu hộ tiền dự án Nhận ký quỹ ngắn hạn,417.147.545,417.147.545,,,417147545.0,417147545.0
Đất Xanh Miền Nam,Phải trả khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Thu hộ tiền dự án Nhận ký quỹ ngắn hạn,-,552.584.013,,,,552584013.0
Ông Lương Trí Tú,Phải trả khác > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Khác,68.031.680,41.050.000,,,68031680.0,41050000.0
Ông Lương Trí Thìn,Phải trả khác > Ông Lương Trí Thìn,Ông Lương Trí Thìn,Chủ tịch HDQT,Khác,42.000.000,42.000.000,,,42000000.0,42000000.0
