row_label_raw,row_label_full,Bên vay,Số cuối năm VND,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Hình thức đảm bảo
"Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")",,
Khoản cho vay 1,"Công ty Cổ phần Đầu tư LDG (""LDG"") > Khoản cho vay 1",Khoản cho vay 1,20.000.000.000,Tín chấp,20000000000.0,
Khoản cho vay 2,"Công ty Cổ phần Đầu tư LDG (""LDG"") > Khoản cho vay 2",Khoản cho vay 2,14.800.000.000,Tín chấp,14800000000.0,
TỔNG CỘNG,"Công ty Cổ phần Đầu tư LDG (""LDG"") > TỔNG CỘNG",TỔNG CỘNG,34.800.000.000,,34800000000.0,
