row_label_raw,row_label_full,col_0,Phần mềm,Trang web,Tài sân khác,VND Tổng cộng,numeric__Phần mềm,numeric__Trang web,numeric__Tài sân khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,2.399.917.309,567.166.005,310.734.600,3.277.817.914,2399917309.0,567166005.0,310734600.0,3277817914.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.206.303.200,90.000.000,-,1.296.303.200,1206303200.0,90000000.0,,1296303200.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,366.029.208,-,-,366.029.208,366029208.0,,,366029208.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,3.972.249.717,657.166.005,310.734.600,4.940.150.322,3972249717.0,657166005.0,310734600.0,4940150322.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,179.419.930,385.166.005,107.434.600,672.020.535,179419930.0,385166005.0,107434600.0,672020535.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(505.510.841),(427.645.183),(183.672.084),(1.116.828.108),-505510841.0,-427645183.0,-183672084.0,-1116828108.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(713.313.898),(70.916.664),(50.825.004),(835.055.566),-713313898.0,-70916664.0,-50825004.0,-835055566.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(1.218.824.739),(498.561.847),(234.497.088),(1.951.883.674),-1218824739.0,-498561847.0,-234497088.0,-1951883674.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,1.894.406.468,139.520.822,127.062.516,2.160.989.806,1894406468.0,139520822.0,127062516.0,2160989806.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,2.753.424.978,158.604.158,76.237.512,2.988.266.648,2753424978.0,158604158.0,76237512.0,2988266648.0
