row_label_raw,row_label_full,col_0,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,13.419.230.861,2.620.110.738,89.000.000,16.128.341.599,13419230861.0,2620110738.0,89000000.0,16128341599.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.939.909.092,1.250.119.272,509.090.909,3.699.119.273,1939909092.0,1250119272.0,509090909.0,3699119273.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(2.086.554.019),(13.142.858),-,(2.099.696.877),-2086554019.0,-13142858.0,,-2099696877.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,13.272.585.934,3.857.087.152,598.090.909,17.727.763.995,13272585934.0,3857087152.0,598090909.0,17727763995.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,4.358.679.409,587.126.770,-,4.945.806.179,4358679409.0,587126770.0,,4945806179.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(7.835.057.837),(1.115.229.150),(7.416.665),(8.957.703.652),-7835057837.0,-1115229150.0,-7416665.0,-8957703652.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.264.584.997),(691.467.499),(116.789.894),(2.072.842.390),-1264584997.0,-691467499.0,-116789894.0,-2072842390.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,1.923.195.879,13.142.858,-,1.936.338.737,1923195879.0,13142858.0,,1936338737.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(7.176.446.955),(1.793.553.791),(124.206.559),(9.094.207.305),-7176446955.0,-1793553791.0,-124206559.0,-9094207305.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,5.584.173.024,1.504.881.588,81.583.335,7.170.637.947,5584173024.0,1504881588.0,81583335.0,7170637947.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,6.096.138.979,2.063.533.361,473.884.350,8.633.556.690,6096138979.0,2063533361.0,473884350.0,8633556690.0
