row_label_raw,row_label_full,Các chênh lệch tạm thời,Các chênh lệch tạm thời_1,numeric__Các chênh lệch tạm thời_1
Lỗ chuyển sang các năm sau của chi nhánh Hà Nội,Lỗ chuyển sang các năm sau của chi nhánh Hà Nội,Lỗ chuyển sang các năm sau của chi nhánh Hà Nội,6.006.606.745,6006606745.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,1.979.066.323,1979066323.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.985.673.068,7985673068.0
