row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc VND,31/12/2020 > Giá trị hợp lý VND,31/12/2019 > Giá gốc VND,31/12/2019 > Giá trị hợp lý VND,numeric__31/12/2020 > Giá gốc VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Giá trị hợp lý VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,124.215.792.649,124.855.634.464,84.511.781.845,71.038.500.744,124215792649.0,124855634464.0,84511781845.0,71038500744.0
HPG,HPG,HPG,42.436.185.051,43.279.603.000,25.600,27.920,42436185051.0,43279603000.0,25600.0,27920.0
TCB,TCB,TCB,17.096.216.429,20.969.550.000,981.728,700.000,17096216429.0,20969550000.0,981728.0,700000.0
MSN,MSN,MSN,18.075.097.896,19.106.388.000,7.836.073.551,8.174.992.000,18075097896.0,19106388000.0,7836073551.0,8174992000.0
VNM,VNM,VNM,16.218.455.127,16.268.646.400,153.330,109.680,16218455127.0,16268646400.0,153330.0,109680.0
PNJ,PNJ,PNJ,7.272.234.294,7.654.176.000,38.324,120.000,7272234294.0,7654176000.0,38324.0,120000.0
VPB,VPB,VPB,3.982.178.682,4.301.862.500,526.148,440.800,3982178682.0,4301862500.0,526148.0,440800.0
SD3,SD3,SD3,9.157.541.200,3.323.988.000,1.438.800,92.400,9157541200.0,3323988000.0,1438800.0,92400.0
VRE,VRE,VRE,2.890.008.883,3.168.950.800,339.633,368.900,2890008883.0,3168950800.0,339633.0,368900.0
MWG,MWG,MWG,2.141.697.926,2.198.698.800,585.100,476.000,2141697926.0,2198698800.0,585100.0,476000.0
STB,STB,STB,1.094.000.984,1.147.053.700,88.900,145.600,1094000984.0,1147053700.0,88900.0,145600.0
FPT,FPT,FPT,1.068.410.405,1.102.096.800,904.748,415.720,1068410405.0,1102096800.0,904748.0,415720.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,2.783.765.772,2.334.620.464,76.670.625.983,62.860.611.724,2783765772.0,2334620464.0,76670625983.0,62860611724.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,305.769.259.000,305.769.259.000,-,-,305769259000.0,305769259000.0,,
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,688.187.286.189,688.187.286.189,577.985.766.304,577.985.766.304,688187286189.0,688187286189.0,577985766304.0,577985766304.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,349.791.000.000,349.791.000.000,104.409.000.000,104.409.000.000,349791000000.0,349791000000.0,104409000000.0,104409000000.0
Tổng cộng,Tổng cộng,Tổng cộng,1.467.963.337.838,1.468.603.179.653,766.906.548.148,753.433.267.048,1467963337838.0,1468603179653.0,766906548148.0,753433267048.0
