row_label_raw,row_label_full,TÀI SẢN TÀI CHÍNH
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền
Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL)
Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM)
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay
Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính sẵn sàng để bán (AFS)
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu
Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác
Tài sản cố định,Tài sản cố định,Tài sản cố định
Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán
Tiền nộp Quỹ bù trừ,Tiền nộp Quỹ bù trừ,Tiền nộp Quỹ bù trừ
Các tài sản dài hạn,Các tài sản dài hạn,Các tài sản dài hạn
Tổng cộng,Tổng cộng,Tổng cộng
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn
Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác"
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn"
Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi
Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn"
Tổng cộng,Tổng cộng,Tổng cộng
Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng
