row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FPT,FPT,FPT,1.042.460.106,1.069.650.900,27.190.794,63.757.200(359.147.243),(36.566.406)359.147.243,(36.566.406)-,-359.147.243,1042460106.0,1069650900.0,27190794.0,,,,-359147243.0
GMD,GMD,GMD,-,-,-,63.757.200(359.147.243),(36.566.406)359.147.243,(36.566.406)-,-359.147.243,,,,,,,-359147243.0
HDB,HDB,HDB,-,47.500,47.500,-,47.500,47.500,-,,47500.0,47500.0,,47500.0,47500.0,
HPG,HPG,HPG,42.368.924.224,43.200.019.000,831.094.776,337.998.442,493.096.334,493.096.334,-,42368924224.0,43200019000.0,831094776.0,337998442.0,493096334.0,493096334.0,
KDH,KDH,KDH,361.908.162,386.760.000,24.851.838,-,-,-,-,361908162.0,386760000.0,24851838.0,,,,
MSN,MSN,MSN,18.074.424.770,19.105.499.000,1.031.074.230,(6.250.000),1.037.324.230,1.031.074.230,6.250.000,18074424770.0,19105499000.0,1031074230.0,-6250000.0,1037324230.0,1031074230.0,6250000.0
MWG,MWG,MWG,2.134.710.246,2.191.327.000,56.616.754,-,56.616.754,56.616.754,-,2134710246.0,2191327000.0,56616754.0,,56616754.0,56616754.0,
PNJ,PNJ,PNJ,7.234.395.986,7.608.330.000,373.934.014,495.033.394(18.965.500),(121.099.380)18.965.500,(121.099.380)-,-18.965.500,7234395986.0,7608330000.0,373934014.0,,,,-18965500.0
REE,REE,REE,-,-,-,495.033.394(18.965.500),(121.099.380)18.965.500,(121.099.380)-,-18.965.500,,,,,,,-18965500.0
STB,STB,STB,1.086.994.990,1.139.060.000,52.065.010,-,52.065.010,52.065.010,-,1086994990.0,1139060000.0,52065010.0,,52065010.0,52065010.0,
TCB,TCB,TCB,17.096.216.429,20.969.550.000,3.873.333.571,(145.624.563),4.018.958.134,3.873.333.571,-,17096216429.0,20969550000.0,3873333571.0,-145624563.0,4018958134.0,3873333571.0,
VHM,VHM,VHM,-,-,-,(27.722.000),27.722.000,-,27.722.000,,,,-27722000.0,27722000.0,,27722000.0
VNM,VNM,VNM,16.137.037.847,16.186.828.800,49.790.953,(947.636.020),997.426.973,49.790.953,-,16137037847.0,16186828800.0,49790953.0,-947636020.0,997426973.0,49790953.0,
VPB,VPB,VPB,3.947.499.357,4.255.875.000,308.375.643,-,308.375.643,308.375.643,-,3947499357.0,4255875000.0,308375643.0,,308375643.0,308375643.0,
VRE,VRE,VRE,2.877.907.640,3.155.700.000,277.792.360,3.265.500,274.526.860,274.526.860,-,2877907640.0,3155700000.0,277792360.0,3265500.0,274526860.0,274526860.0,
