row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm 2020 VND,Năm 2019 VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm 2020 VND,numeric__Năm 2019 VND
,,,III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
41,41,41,1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,12.586.680,808.291,,,12586680.0,808291.0
42,42,42,"2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cổ định",,2.827.416.265,4.694.306.916,,,2827416265.0,4694306916.0
50,50,50,Cộng doanh thu hoạt động tài chính,,2.840.002.945,4.695.115.207,,,2840002945.0,4695115207.0
,,,IV. CHI PHÍ TÀI CHÍNH,,,,,,,
52,52,52,"1. Chi phí lãi vay, lãi trải phiếu phát hành",35,187.285.347.054,174.478.690.303,,35.0,187285347054.0,174478690303.0
60,60,60,Cộng chỉ phí tài chính,,187.285.347.054,174.478.690.303,,,187285347054.0,174478690303.0
61,61,61,V. CHI PHÍ BÁN HÀNG,,4.872.840.597,7.427.938.961,,,4872840597.0,7427938961.0
,,,VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,36,103.094.176.005,92.317.914.501,,36.0,103094176005.0,92317914501.0
70,70,70,VII. KẾT QUẢ HOẠT ĐỘNG,,332.868.610.953,280.274.861.925,,,332868610953.0,280274861925.0
,,,VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,
71,71,71,Thu nhập khác,37,3.239.383.862,8.603.570.496,,37.0,3239383862.0,8603570496.0
72,72,72,Chi phí khác,,2.916.134,300.168.605,,,2916134.0,300168605.0
80,80,80,Cộng kết quả hoạt động khác,,3.236.467.728,8.303.401.891,,,3236467728.0,8303401891.0
90,90,90,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,336.105.078.681,288.578.263.816,,,336105078681.0,288578263816.0
91,91,91,1. Lợi nhuận đã thực hiện,,329.898.777.245,266.838.134.828,,,329898777245.0,266838134828.0
92,92,92,2. Lợi nhuận/(lỗ) chưa thực hiện,,6.206.301.436,21.740.128.988,,,6206301436.0,21740128988.0
100,100,100,X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP (TNDN),38,67.399.672.041,58.775.804.130,,38.0,67399672041.0,58775804130.0
100.1,100.1,100.1,1. Chi phí thuế TNDN hiện hành,38.1,66.158.411.754,48.273.514.295,,381.0,66158411754.0,48273514295.0
100.2,100.2,100.2,2. Chi phí thuế TNDN hoãn lại,38.2,1.241.260.287,10.502.289.835,,382.0,1241260287.0,10502289835.0
200,200,200,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,268.705.406.640,229.802.459.686,,,268705406640.0,229802459686.0
300,300,300,XII. THU NHẬP TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,,,
500,300 > 500,500,XIII. THU NHẬP THUÀN TRÊN CỔ PHIÉU PHÓ THÔNG,,1.730,1.882,,,1730.0,1882.0
501,300 > 501,501,Lãi cơ bản trên cổ phiếu,39,1.730,1.882,,39.0,1730.0,1882.0
