row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ dự trữ bổ sung vốn điều lệ VND,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ VND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,1.221.242.800.000,(104.614.700),15.062.113.426,15.052.129.326,1.628.982.305,207.590.887.214,1.460.472.297.571,1221242800000.0,-104614700.0,15062113426.0,15052129326.0,1628982305.0,207590887214.0,1460472297571.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,229.802.459.686,229.802.459.686,,,,,,229802459686.0,229802459686.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(9.006.500),-,-,-,-,(9.006.500),,-9006500.0,,,,,-9006500.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,11.490.122.984,11.490.122.984,-,(22.980.245.968),-,,,11490122984.0,11490122984.0,,-22980245968.0,
Thường nhân viên,Thường nhân viên,Thường nhân viên,-,-,-,-,-,(9.870.445.486),(9.870.445.486),,,,,,-9870445486.0,-9870445486.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,,,(10.641.133.646),(10.641.133.646),,,,,,-10641133646.0,-10641133646.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,85.045.121,85.045.121,,,,,,85045121.0,85045121.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(3.000.000),-,(3.000.000),,,,,-3000000.0,,-3000000.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,1.221.242.800.000,(113.621.200),26.552.236.410,26.542.252.310,1.625.982.305,393.986.566.921,1.669.836.216.746,1221242800000.0,-113621200.0,26552236410.0,26542252310.0,1625982305.0,393986566921.0,1669836216746.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,268.705.406.640,268.705.406.640,,,,,,268705406640.0,268705406640.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,13.435.270.332,13.435.270.332,-,(26.870.540.664),-,,,13435270332.0,13435270332.0,,-26870540664.0,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,299.953.620.000,-,-,-,-,-,299.953.620.000,299953620000.0,,,,,,299953620000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(15.822.100),-,-,-,-,(15.822.100),,-15822100.0,,,,,-15822100.0
Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,122.114.420.000,-,-,-,-,(122.114.420.000),-,122114420000.0,,,,,-122114420000.0,
Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,-,-,-,-,-,(164.322.801.000),(164.322.801.000),,,,,,-164322801000.0,-164322801000.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(13.788.147.582),(13.788.147.582),,,,,,-13788147582.0,-13788147582.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,1.643.310.840.000,(129.443.300),39.987.506.742,39.977.522.642,1.625.982.305,335.596.064.315,2.060.368.472.704,1643310840000.0,-129443300.0,39987506742.0,39977522642.0,1625982305.0,335596064315.0,2060368472704.0
