row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,31/12/2020 VND,31/12/2019 VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__31/12/2020 VND,numeric__31/12/2019 VND
,,,A. TÀI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
002,002,002,Chứng chỉ có giả nhận giữ hộ,28.1,9.883.660.000,9.883.660.000,,281.0,9883660000.0,9883660000.0
004,004,004,Nợ khó đòi đã xử lý,28.2,670.996.822.411,464.728.581.535,,282.0,670996822411.0,464728581535.0
005,005,005,Ngoại tệ các loại USDJPY,28.3,-780,35.302780,,283.0,-780.0,35302780.0
006,006,006,Cổ phiếu đang lưu hành (số lượng),27.3,164.321.530,122.116.232,,273.0,164321530.0,122116232.0
007,007,007,Cổ phiếu quỹ (số cổ phiếu),27.3,9.554,8.048,,273.0,9554.0,8048.0
008,008,008,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.4,250.926.160.000311.827.400.000,267.911.720.000205.000.000,,284.0,2.5092616000031182e+23,2.67911720000205e+20
010,010,010,Tài sản tài chính chờ về của CTCK,28.4,250.926.160.000311.827.400.000,267.911.720.000205.000.000,,284.0,2.5092616000031182e+23,2.67911720000205e+20
012,012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28..5,112.669.860.000,127.968.330.000,,285.0,112669860000.0,127968330000.0
014,014,014,Chứng quyền (Số lượng),,14.290.430,12.161.590,,,14290430.0,12161590.0
,,,B. TÀI SẢN VÀ CÁC KHOÀN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,,,,,,,
021,021,021,Tài sản tài chính niêm yết/dăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.6,30.298.783.350.000,23.275.914.210.000,,286.0,30298783350000.0,23275914210000.0
021.1,021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,18.024.525.240.000,14.609.534.610.000,,,18024525240000.0,14609534610000.0
021.2,021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,852.294.400.000,584.205.680.000,,,852294400000.0,584205680000.0
021.3,021.3,021.3,Tài sản tài chính giao dịch cẩm cố,,7.816.888.050.000,6.321.143.800.000,,,7816888050000.0,6321143800000.0
021.4,021.4,021.4,"Tài sản tài chính phong tòa, tạm giữ",,2.858.544.630.000,1.503.105.680.000,,,2858544630000.0,1503105680000.0
021.5,021.5,021.5,Tài sản tài chính chờ thanh toán,,746.531.030.000,257.924.440.000,,,746531030000.0,257924440000.0
022,022,022,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của Nhà đầu tư,28.7,391.472.620.000,384.136.760.000,,287.0,391472620000.0,384136760000.0
022.1,022.1,022.1,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, tự do chuyển nhượng",,21.772.550.000,26.629.120.000,,,21772550000.0,26629120000.0
022.2,022.2,022.2,"Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch, hạn chế chuyển nhượng",,369.700.070.000,357.507.640.000,,,369700070000.0,357507640000.0
023,023,023,Tài sản tài chính chờ về của Nhà đầu tư,28.8,675.618.050.000,205.222.410.000,,288.0,675618050000.0,205222410000.0
024.b,024.b,024.b,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư,28.9,1.632.360.000,1.682.170.000,,289.0,1632360000.0,1682170000.0
