row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,31/12/2020 VND,31/12/2019VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2020 VND,numeric__31/12/2019VND
300,300,300,C. NỘ PHẢI TRẢ,,4.955.227.678.095,3.080.420.247.490,,,4955227678095.0,3080420247490.0
310,310,310,I. Nợ phải trả ngắn hạn,,4.775.706.309.161,2.452.176.189.954,,,4775706309161.0,2452176189954.0
311,311,311,1. Vay và nợ thuê tài chính ngắn hạn,19,2.206.843.000.000,829.615.050.000,,19.0,2206843000000.0,829615050000.0
312,312,312,1.1. Vay ngắn hạn,,2.206.843.000.000,829.615.050.000,,,2206843000000.0,829615050000.0
318,318,318,2. Phải trả hoạt động giao dịch chứng khoán,20,40.209.367.939,13.095.044.834,,20.0,40209367939.0,13095044834.0
320,320,320,3. Phải trả người bán ngắn hạn,21,408.518.796.761,12.249.632.308,,21.0,408518796761.0,12249632308.0
321,321,321,4. Người mua trả tiền trước ngắn hạn,,2.141.002.000,2.303.002.000,,,2141002000.0,2303002000.0
322,322,322,5. Thuế và các khoản phải nộp Nhà nước,22,45.505.365.098,19.807.239.112,,22.0,45505365098.0,19807239112.0
323,323,323,6. Phải trả người lao động,,9.241.405.870,2.316.425.663,,,9241405870.0,2316425663.0
324,324,324,7. Các khoản trích nộp phúc lợi nhân viên,,3.750.693.088,3.077.910.210,,,3750693088.0,3077910210.0
325,325,325,8. Chỉ phí phải trả ngắn hạn,23,49.485.192.001,51.161.576.580,,23.0,49485192001.0,51161576580.0
327,327,327,9. Doanh thu chưa thực hiện ngắn hạn,,262.303.989,199.803.990,,,262303989.0,199803990.0
328,328,328,"10. Nhận ký quỹ, ký cược ngắn hạn",24,1.998.030.365.477,1.505.723.570.731,,24.0,1998030365477.0,1505723570731.0
329,329,329,"11. Các khoản phải trả, phải nộp ngắn hạn khác",25,7.674.305.560,5.902.680.730,,25.0,7674305560.0,5902680730.0
331,331,331,"12. Quỹ khen thưởng, phúc lợi",,4.044.511.378,6.724.253.796,,,4044511378.0,6724253796.0
340,340,340,II. Nợ phải trả dài hạn,,179.521.368.934,628.244.057.536,,,179521368934.0,628244057536.0
346,346,346,1. Trái phiếu phát hành dài hạn,26,178.191.975.264,626.870.671.866,,26.0,178191975264.0,626870671866.0
352,352,352,"2. Nhận ký quỹ, ký cược dài hạn",,1.329.393.670,1.373.385.670,,,1329393670.0,1373385670.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.060.368.472.704,1.669.836.216.746,,,2060368472704.0,1669836216746.0
410,410,410,I. Vốn chủ sở hữu,27.1,2.060.368.472.704,1.669.836.216.746,,271.0,2060368472704.0,1669836216746.0
411,411,411,1. Vốn đầu tư của chủ sở hữu,,1.643.181.396.700,1.221.129.178.800,,,1643181396700.0,1221129178800.0
411.1,411.1,411.1,1.1. Vốn góp của chủ sở hữu,,1.643.310.840.000,1.221.242.800.000,,,1643310840000.0,1221242800000.0
411.1a,411.1a,411.1a,a. Cổ phiếu phổ thông,,1.643.310.840.000,1.221.242.800.000,,,1643310840000.0,1221242800000.0
411.5,411.5,411.5,1.2. Cổ phiếu quỹ,,(129.443.300),(113.621.200),,,-129443300.0,-113621200.0
414,414,414,2. Quỹ dự trữ bổ sung vốn điều lệ,,39.987.506.742,26.552.236.410,,,39987506742.0,26552236410.0
415,415,415,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,39.977.522.642,26.542.252.310,,,39977522642.0,26542252310.0
416,416,416,4. Các quỹ khác thuộc Vốn chủ sở hữu,,1.625.982.305,1.625.982.305,,,1625982305.0,1625982305.0
417,417,417,5. Lợi nhuận chưa phân phối,27.2,335.596.064.315,393.986.566.921,,272.0,335596064315.0,393986566921.0
417.1,417.1,417.1,5.1 Lợi nhuận đã thực hiện,,340.448.459.848,403.804.003.603,,,340448459848.0,403804003603.0
417.2,417.2,417.2,5.2 Lợi nhuận chưa thực hiện,,(4.852.395.533),(9.817.436.682),,,-4852395533.0,-9817436682.0
440,440,440,TỔNG CỘNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,7.015.596.150.799,4.750.256.464.236,,,7015596150799.0,4750256464236.0
