row_label_raw,row_label_full,Danh mục các loại tài sân tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch giảm lũy kế VND,Chênh lệch tăng lũy kế VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch giảm lũy kế VND,numeric__Chênh lệch tăng lũy kế VND
CFPT1908,CFPT1908,CFPT1908,250.899.271,261.096.500,10.197.229,-,10.197.229,-,250899271.0,261096500.0,10197229.0,,10197229.0,
CMSN2004,CMSN2004,CMSN2004,11.242.757.729,12.676.934.000,1.434.176.271,-,1.434.176.271,-,11242757729.0,12676934000.0,1434176271.0,,1434176271.0,
CMWG2002,CMWG2002,CMWG2002,87.169.058,98.523.000,11.353.942,-,11.353.942,-,87169058.0,98523000.0,11353942.0,,11353942.0,
CPNJ2004,CPNJ2004,CPNJ2004,-,-,-,(813.963.741),-,(1.459.982.095),,,,-813963741.0,,-1459982095.0
CREE1905,CREE1905,CREE1905,2.387.506.093,2.916.228.000,528.721.907,-,528.721.907,49.395.802,2387506093.0,2916228000.0,528721907.0,,528721907.0,49395802.0
CTCB2004,CTCB2004,CTCB2004,-,-,-,20.697.748,(20.697.748),(552.063.601),,,,20697748.0,-20697748.0,-552063601.0
CVNM2003,CVNM2003,CVNM2003,-,-,-,155.423.391,(155.423.391),(357.610.296),,,,155423391.0,-155423391.0,-357610296.0
CVPB2005,CVPB2005,CVPB2005,526.612.838,-,(526.612.838),-,-,526.612.838,526612838.0,,-526612838.0,,,526612838.0
CFPT2007,CFPT2007,CFPT2007,1.479.770.079,1.736.108.000,256.337.921,-,544.555.716,-,1479770079.0,1736108000.0,256337921.0,,544555716.0,
CHDB2006,CHDB2006,CHDB2006,-,-,-,187.811.307,(295.066.567),-,,,,187811307.0,-295066567.0,
CMWG2009,CMWG2009,CMWG2009,257.776.546,268.569.000,10.792.454,-,10.792.454,-,257776546.0,268569000.0,10792454.0,,10792454.0,
CREE2004,CREE2004,CREE2004,-,-,-,(175.719.352),-,(1.098.016.963),,,,-175719352.0,,-1098016963.0
CGMD1901,CGMD1901,CGMD1901,3.480.554.360,5.989.590.000,2.509.035.640,-,2.560.549.106,-,3480554360.0,5989590000.0,2509035640.0,,2560549106.0,
CHPG1908,CHPG1908,CHPG1908,3.257.595.593,3.180.721.500,(76.874.093),-,75.658.915,76.874.093,3257595593.0,3180721500.0,-76874093.0,,75658915.0,76874093.0
CPNJ1902,CPNJ1902,CPNJ1902,1.004.078.764,1.150.342.400,146.263.636,-,181.431.645,-,1004078764.0,1150342400.0,146263636.0,,181431645.0,
CTCB1901,CTCB1901,CTCB1901,647.553.221,853.335.000,205.781.779,-,205.781.779,-,647553221.0,853335000.0,205781779.0,,205781779.0,
Tổng cộng,Tổng cộng,Tổng cộng,24.622.273.552,29.131.447.400,4.509.173.848,(625.750.647),5.092.031.258,(2.814.790.222),24622273552.0,29131447400.0,4509173848.0,-625750647.0,5092031258.0,-2814790222.0
