row_label_raw,row_label_full,Các loại tài sảntài chính,31/12/2020 > Giá muaVND,31/12/2020 > Chênh lệch đánh giá > Chênh lệchtăngVND,31/12/2020 > Chênh lệch đánh giá > Chênh lệch giảmVND,31/12/2020 > Giá trị đánh giá lạiVND,numeric__31/12/2020 > Giá muaVND,numeric__31/12/2020 > Chênh lệch đánh giá > Chênh lệchtăngVND,numeric__31/12/2020 > Chênh lệch đánh giá > Chênh lệch giảmVND,numeric__31/12/2020 > Giá trị đánh giá lạiVND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêmyết,FVTPL > Cổ phiếu niêmyết,Cổ phiếu niêmyết,124.215.792.649,7.270.291.189,(6.630.449.374),124.855.634.464,124215792649.0,7270291189.0,-6630449374.0,124855634464.0
Trái phiếu niêmyết,FVTPL > Trái phiếu niêmyết,Trái phiếu niêmyết,349.791.000.000,-,-,349.791.000.000,349791000000.0,,,349791000000.0
Trái phiếu churaniêm yết,FVTPL > Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,688.187.286.189,-,-,688.187.286.189,688187286189.0,,,688187286189.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu churaniêm yết,AFS > Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,110.365.529.369,-,(56.055.729.445),54.309.799.924,110365529369.0,,-56055729445.0,54309799924.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,1.275.559.608.207,7.270.291.189,(65.686.178.819),1.217.143.720.577,1275559608207.0,7270291189.0,-65686178819.0,1217143720577.0
