row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Hoạt động khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,,,,
1. Doanh thu hoạt động,Ngày 31 tháng 12 năm 2020 > 1. Doanh thu hoạt động,1. Doanh thu hoạt động,685.450.583.094,258.704.337.519,119.465.931.065,58.008.296.775,1.121.629.148.453,685450583094.0,258704337519.0,119465931065.0,58008296775.0,1121629148453.0
2. Các chỉ phí trực tiếp,Ngày 31 tháng 12 năm 2020 > 2. Các chỉ phí trực tiếp,2. Các chỉ phí trực tiếp,(334.030.544.070),(130.029.565.895),(54.877.078.063),28.665.481.912,(490.271.706.116),-334030544070.0,-130029565895.0,-54877078063.0,28665481912.0,-490271706116.0
3. Khấu hao và các chỉ phí phân bổ,Ngày 31 tháng 12 năm 2020 > 3. Khấu hao và các chỉ phí phân bổ,3. Khấu hao và các chỉ phí phân bổ,(180.434.776.599),(68.100.108.887),(31.447.647.890),(15.269.830.280),(295.252.363.656),-180434776599.0,-68100108887.0,-31447647890.0,-15269830280.0,-295252363656.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Ngày 31 tháng 12 năm 2020 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,170.985.262.425,60.574.662.737,33.141.205.112,71.403.948.407,336.105.078.681,170985262425.0,60574662737.0,33141205112.0,71403948407.0,336105078681.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận (*),Số dư cuối năm > 1. Tài sản bộ phận (*),1. Tài sản bộ phận (*),4.165.325.817.197,2.646.108.784.598,-,17.796.989.791,6.829.231.591.586,4165325817197.0,2646108784598.0,,17796989791.0,6829231591586.0
2. Tài sản phân bổ (*),Số dư cuối năm > 2. Tài sản phân bổ (*),2. Tài sản phân bổ (*),152.120.233.943,57.413.568.995,26.512.757.929,12.873.627.791,248.920.188.658,152120233943.0,57413568995.0,26512757929.0,12873627791.0,248920188658.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,4.317.446.051.140,2.703.522.353.593,26.512.757.929,30.670.617.582,7.078.151.780.244,4317446051140.0,2703522353593.0,26512757929.0,30670617582.0,7078151780244.0
3. Nợ phải trả bộ phận,Số dư cuối năm > 3. Nợ phải trả bộ phận,3. Nợ phải trả bộ phận,29.191.750.313,421.677.416.387,-,-,450.869.166.700,29191750313.0,421677416387.0,,,450869166700.0
4. Nợ phân bổ,Số dư cuối năm > 4. Nợ phân bổ,4. Nợ phân bổ,2.752.705.894.242,1.038.932.597.504,479.764.086.157,232.955.933.492,4.504.358.511.395,2752705894242.0,1038932597504.0,479764086157.0,232955933492.0,4504358511395.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,2.781.897.644.555,1.460.610.013.891,479.764.086.157,232.955.933.492,4.955.227.678.095,2781897644555.0,1460610013891.0,479764086157.0,232955933492.0,4955227678095.0
