row_label_raw,row_label_full,Năm phát hành > 2017 > 2018 > 2019,Lô > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 5 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 2 > Lô 3 > Lô 4,"Lãi suất năm > 8% - 8,2% > 8% > 8,3% > 8,225% > 8% > 8,5% > 7,6% > 7,35%",Năm đáo hạn > 2020 > 2021 > 2020 > 2022,31/12/2020 VND > - > 7.000.000.000 > 9.000.000.000 > - > 82.000.000.000 > 81.000.000.000,31/12/2019 VND > 1.000.000.000 > 28.000.000.000 > 7.000.000.000 > 5.000.000.000 > 2.000.000.000 > 7.000.000.000 > 9.000.000.000 > - > 200.000.000.000 > 151.000.000.000 > 219.000.000.000,numeric__Lô > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 5 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 2 > Lô 3 > Lô 4,"numeric__Lãi suất năm > 8% - 8,2% > 8% > 8,3% > 8,225% > 8% > 8,5% > 7,6% > 7,35%",numeric__Năm đáo hạn > 2020 > 2021 > 2020 > 2022,numeric__31/12/2020 VND > - > 7.000.000.000 > 9.000.000.000 > - > 82.000.000.000 > 81.000.000.000,numeric__31/12/2019 VND > 1.000.000.000 > 28.000.000.000 > 7.000.000.000 > 5.000.000.000 > 2.000.000.000 > 7.000.000.000 > 9.000.000.000 > - > 200.000.000.000 > 151.000.000.000 > 219.000.000.000
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,(808.024.736),(2.129.328.134),,,,-808024736.0,-2129328134.0
Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,178.191.975.264,626.870.671.866,,,,178191975264.0,626870671866.0
