row_label_raw,row_label_full,col_0,31/12/2020,Don vị: cổ phiếu 31/12/2019,numeric__31/12/2020,numeric__Don vị: cổ phiếu 31/12/2019
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,164.331.084,122.124.280,164331084.0,122124280.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,164.331.084,122.124.280,164331084.0,122124280.0
Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,164.331.084,122.124.280,164331084.0,122124280.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,164.331.084,122.124.280,164331084.0,122124280.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(9.554),(8.048),-9554.0,-8048.0
Cổ phiếu quỹ do Công ty nằm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nằm giữ,Cổ phiếu quỹ do Công ty nằm giữ,(9.554),(8.048),-9554.0,-8048.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(9.554),(8.048),-9554.0,-8048.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,164.321.530,122.116.232,164321530.0,122116232.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,164.321.530,122.116.232,164321530.0,122116232.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
