row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2020 VND,Năm 2019 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2020 VND,numeric__Năm 2019 VND
,,,I. DOANH THU HOẠT ĐỘNG,,,,,,,
01,01,01,1. Lãi từ các tài sản tài chính ghi nhận thông qua lãiỗ (FVTPL),,202.471.546.504,133.862.045.742,,,202471546504.0,133862045742.0
01.1,01.1,01.1,1.1. Lãi bán các tài sản tài chính FVTPL,29.1,156.881.145.874,104.500.547.308,,291.0,156881145874.0,104500547308.0
01.2,01.2,01.2,1.2. Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,29.2,6.266.684.601,867.296.475,,292.0,6266684601.0,867296475.0
01.3,01.3,01.3,"1.3. Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL",29.3,42.138.506.251,25.026.529.004,,293.0,42138506251.0,25026529004.0
01.4,01.4,01.4,1.4. Chênh lệch giảm về đánh giá lại chứng quyền,29.2,(2.814.790.222),3.467.672.955,,292.0,-2814790222.0,3467672955.0
02,02,02,2. Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn (HTM),29.4,55.312.791.015,32.003.500.678,,294.0,55312791015.0,32003500678.0
03,03,03,3. Lãi từ các khoản cho vay và phải thu,29.5,318.478.598.985,310.293.579.616,,295.0,318478598985.0,310293579616.0
04,04,04,4. Lãi từ tài sản tài chính sẵn sàng để bán (AFS),29.6,920.000.000,578.000.000,,296.0,920000000.0,578000000.0
06,06,06,5. Doanh thu nghiệp vụ môi giới chứng khoán,30,350.101.297.732,250.751.242.938,,30.0,350101297732.0,250751242938.0
07,07,07,"6. Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,18.113.149,80.434.783,,,18113149.0,80434783.0
09,09,09,7. Doanh thu nghiệp vụ lưu ký chứng khoán,,16.870.686.377,20.325.802.834,,,16870686377.0,20325802834.0
10,10,10,8. Doanh thu hoạt động tư vấn tài chính,31,119.447.817.916,122.304.720.431,,31.0,119447817916.0,122304720431.0
11,11,11,9. Thu nhập hoạt động khác,32,51.928.909.968,73.568.262.904,,32.0,51928909968.0,73568262904.0
20,20,20,Cộng doanh thu hoạt động,,1.115.549.761.646,943.767.589.926,,,1115549761646.0,943767589926.0
,,,II. CHI PHÍ HOẠT ĐỘNG,,,,,,,
21,21,21,1. Lỗ từ các tài sản tài chính FVTPL,,112.109.965.149,83.583.168.780,,,112109965149.0,83583168780.0
21.1,21.1,21.1,1.1 Lỗ bán các tài sản tài chính FVTPL,29.1,112.091.432.862,99.965.441.796,,291.0,112091432862.0,99965441796.0
21.2,21.2,21.2,1.2 Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,29.2,(7.846.438.315),(17.876.347.263),,292.0,-7846438315.0,-17876347263.0
21.3,21.3,21.3,1.3 Chi phí giao dịch mua các tài sản tài chính FVTPL,,2.772.939.344,1.022.886.541,,,2772939344.0,1022886541.0
21.4,21.4,21.4,1.4 Chênh lệch tăng về đánh giá lại chứng quyền,29.2,5.092.031.258,471.187.706,,292.0,5092031258.0,471187706.0
24,24,24,"2. Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",7.5,(8.870.000.000),(53.409.149.899),,75.0,-8870000000.0,-53409149899.0
26,26,26,3. Chi phí hoạt động tự doanh,33,26.789.600.746,24.926.656.046,,33.0,26789600746.0,24926656046.0
27,27,27,4. Chi phí nghiệp vụ môi giới chứng khoán,34,317.931.877.638,268.922.275.021,,34.0,317931877638.0,268922275021.0
29,29,29,5. Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,,107.000.000,76.000.000,,,107000000.0,76000000.0
30,30,30,6. Chi phí nghiệp vụ lưu ký chứng khoán,,16.098.666.432,19.577.401.892,,,16098666432.0,19577401892.0
31,31,31,7. Chi phí hoạt động tư vấn tài chính,,54.770.078.063,58.525.427.060,,,54770078063.0,58525427060.0
32,32,32,8. Chi phí hoạt động khác,11,(28.668.398.046),(8.238.479.457),,11.0,-28668398046.0,-8238479457.0
40,40,40,Cộng chi phí hoạt động,,490.268.789.982,393.963.299.443,,,490268789982.0,393963299443.0
