row_label_raw,row_label_full,col_0,Số lượng được phép phát hành,Số lượng đang lưu hành,numeric__Số lượng được phép phát hành,numeric__Số lượng đang lưu hành
CFPT2017,CFPT2017,CFPT2017,2.400.000,106.570,2400000.0,106570.0
CHPG2026,CHPG2026,CHPG2026,3.000.000,2.697.220,3000000.0,2697220.0
CKDH2004,CKDH2004,CKDH2004,2.000.000,36.490,2000000.0,36490.0
CMSN2013,CMSN2013,CMSN2013,2.000.000,1.735.850,2000000.0,1735850.0
CMWG2017,CMWG2017,CMWG2017,2.400.000,209.600,2400000.0,209600.0
CPNJ2010,CPNJ2010,CPNJ2010,2.000.000,510.620,2000000.0,510620.0
CSTB2017,CSTB2017,CSTB2017,2.000.000,85.260,2000000.0,85260.0
CTCB2011,CTCB2011,CTCB2011,1.000.000,665.510,1000000.0,665510.0
CVNM2015,CVNM2015,CVNM2015,2.000.000,1.927.710,2000000.0,1927710.0
CVPB2014,CVPB2014,CVPB2014,2.000.000,263.840,2000000.0,263840.0
CVRE2015,CVRE2015,CVRE2015,2.000.000,270.900,2000000.0,270900.0
Tổng cộng,Tổng cộng,Tổng cộng,22.800.000,8.509.570,22800000.0,8509570.0
