row_label_raw,row_label_full,col_0,Phần mềm máy tính VND,numeric__Phần mềm máy tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2019,Nguyên giá > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,25.895.687.373,25895687373.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,3.673.696.842,3673696842.0
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,29.569.384.215,29569384215.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2019,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,9.205.708.695,9205708695.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.932.259.498,2932259498.0
Ngày 31 tháng 12 năm 2019,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,12.137.968.193,12137968193.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2019,Giá trị còn lại > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,16.689.978.678,16689978678.0
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,17.431.416.022,17431416022.0
