row_label_raw,row_label_full,Loại tiên,col_1,col_2,numeric__col_1,numeric__col_2
Loại tiên,Loại tiên,Loại tiên,Mức tănglãi suất31/12/2020,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúcngày 31/12/2020(Triệu VND),,
VND,Loại tiên > VND,VND,"1,00%",(10.331),0.01,-10331.0
USD,Loại tiên > USD,USD,"0,25%",(8.095),0.0025,-8095.0
