row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,34.941,431.747,17.043,483.731,34941.0,431747.0,17043.0,483731.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,60.882,-,60.882,,60882.0,,60882.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(96.302),-,(96.302),,-96302.0,,-96302.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.941,396.327,17.043,448.311,34941.0,396327.0,17043.0,448311.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,330.143,2.823,332.966,,330143.0,2823.0,332966.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,46.776,1.922,48.698,,46776.0,1922.0,48698.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,(95.738),-,(95.738),,-95738.0,,-95738.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,281.181,4.745,285.926,,281181.0,4745.0,285926.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.941,101.604,14.220,150.765,34941.0,101604.0,14220.0,150765.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.941,115.146,12.298,162.385,34941.0,115146.0,12298.0,162385.0
