row_label_raw,row_label_full,Tài khoản tiền gửi tại NHNNVN,31/12/2020Triệu VND > Tài khoản tiền gửi tại NHNNVN,31/12/2019Triệu VND > Tài khoản tiền gửi tại NHNNVN,numeric__31/12/2020Triệu VND > Tài khoản tiền gửi tại NHNNVN,numeric__31/12/2019Triệu VND > Tài khoản tiền gửi tại NHNNVN
Bằng VND,Bằng VND,Bằng VND,1.531.822,2.864.822,1531822.0,2864822.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,319.068,1.206.094,319068.0,1206094.0
,,,1.850.890,4.070.916,1850890.0,4070916.0
