row_label_raw,row_label_full,USD,EUR,Tiền tệ khácvà vàng,Tổng cộng,numeric__EUR,numeric__Tiền tệ khácvà vàng,numeric__Tổng cộng
453.695,453.695,453.695,195.434,552.809,1.201.938,195434.0,552809.0,1201938.0
1.206.094,1.206.094,1.206.094,-,-,1.206.094,,,1206094.0
5.934.988,5.934.988,5.934.988,130.754,151.390,6.217.132,130754.0,151390.0,6217132.0
3.899.148,3.899.148,3.899.148,-,-,3.899.148,,,3899148.0
2.247.923,2.247.923,2.247.923,59.423,7.022,2.314.368,59423.0,7022.0,2314368.0
13.741.848,13.741.848,13.741.848,385.611,711.221,14.838.680,385611.0,711221.0,14838680.0
24.040,24.040,24.040,-,-,24.040,,,24040.0
8.344.993,8.344.993,8.344.993,80.161,22.159,8.447.313,80161.0,22159.0,8447313.0
4.711.797,4.711.797,4.711.797,71.424,81.609,4.864.830,71424.0,81609.0,4864830.0
627.461,627.461,627.461,278.973,627.063,1.533.497,278973.0,627063.0,1533497.0
1.253.732,1.253.732,1.253.732,21.595,18.528,1.293.855,21595.0,18528.0,1293855.0
14.962.023,14.962.023,14.962.023,452.153,749.359,16.163.535,452153.0,749359.0,16163535.0
(1.220.175),(1.220.175),(1.220.175),(66.542),(38.138),(1.324.855),-66542.0,-38138.0,-1324855.0
