row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.204.642,-,-,-,-,-,-,2.204.642,,2204642.0,,,,,,,2204642.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.850.890,-,-,-,-,-,1.850.890,,,1850890.0,,,,,,1850890.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,70.939,-,14.576.530,1.966.536,363.760,-,-,-,16.977.765,70939.0,,14576530.0,1966536.0,363760.0,,,,16977765.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,39.287,-,-,-,-,-,-,39.287,,39287.0,,,,,,,39287.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.571.907,-,33.739.514,22.369.860,6.281.845,7.678.551,5.765.101,608.790,79.015.568,2571907.0,,33739514.0,22369860.0,6281845.0,7678551.0,5765101.0,608790.0,79015568.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,2.744,-,-,-,-,-,-,-,2.744,2744.0,,,,,,,,2744.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.904.543,220.300,3.416.000,2.101.230,3.261.000,12.928.030,31.014.311,55.845.414,,2904543.0,220300.0,3416000.0,2101230.0,3261000.0,12928030.0,31014311.0,55845414.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,798.312,-,-,-,-,-,-,798.312,,798312.0,,,,,,,798312.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,.287.324,-,-,-,-,-,-,287.324,,287324.0,,,,,,,287324.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,2.092.721,18.525.625,1.200,2.400,3.600,7.200,617.600,563.752,21.814.098,2092721.0,18525625.0,1200.0,2400.0,3600.0,7200.0,617600.0,563752.0,21814098.0
,,,4.738.311,24.759.733,50.388.434,27.754.796,8.750.435,10.946.751,19.310.731,32.186.853,178.836.044,4738311.0,24759733.0,50388434.0,27754796.0,8750435.0,10946751.0,19310731.0,32186853.0,178836044.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,1.614,-,-,1.614,17.506,-,20.734,,,1614.0,,,1614.0,17506.0,,20734.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,42.117.556,10.379.636,3.587.866,174.834,-,-,56.259.892,,,42117556.0,10379636.0,3587866.0,174834.0,,,56259892.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,40.896.044,15.092.083,13.110.212,13.068.915,5.401.334,98,87.568.686,,,40896044.0,15092083.0,13110212.0,13068915.0,5401334.0,98.0,87568686.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,52.030,-,-,-,-,-,52.030,,,52030.0,,,,,,52030.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,347.385,2.455.509,839.466,1.092.706,6.896.408,-,11.631.474,,,347385.0,2455509.0,839466.0,1092706.0,6896408.0,,11631474.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.463.897,-,-,-,-,-,-,4.463.897,,4463897.0,,,,,,,4463897.0
,,,-,4.463.897,83.414.629,27.927.228,17.537.544,14.338.069,12.315.248,98,159.996.713,,4463897.0,83414629.0,27927228.0,17537544.0,14338069.0,12315248.0,98.0,159996713.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,4.738.311,20.295.836,(33.026.195),(172.432),(8.787.109),(3.391.318),6.995.483,32.186.755,18.839.331,4738311.0,20295836.0,-33026195.0,-172432.0,-8787109.0,-3391318.0,6995483.0,32186755.0,18839331.0
