row_label_raw,row_label_full,col_0,2020Triệu VND,2019Triệu VND,numeric__2020Triệu VND,numeric__2019Triệu VND
Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,,
Thu từ nợ đã xử lý rủi ro,Thu nhập hoạt động kinh doanh khác > Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,471.078,479.676,471078.0,479676.0
Thu từ nghiệp vụ mua bán nợ,Thu nhập hoạt động kinh doanh khác > Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,51,-,51.0,
"Thu nhập từ thanh lý tài sản cố định, bất động sản","Thu nhập hoạt động kinh doanh khác > Thu nhập từ thanh lý tài sản cố định, bất động sản","Thu nhập từ thanh lý tài sản cố định, bất động sản",1.924,69.556,1924.0,69556.0
Thu nhập khác,Thu nhập hoạt động kinh doanh khác > Thu nhập khác,Thu nhập khác,344.943,296.596,344943.0,296596.0
,,,817.996,845.828,817996.0,845828.0
Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,,
Chi về nghiệp vụ mua bán nợ,Chi phí hoạt động kinh doanh khác > Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,(4.958),-,-4958.0,
Chi phí khác,Chi phí hoạt động kinh doanh khác > Chi phí khác,Chi phí khác,(132.989),(88.725),-132989.0,-88725.0
,,,(137.947),(88.725),-137947.0,-88725.0
Lãi thuần từ hoạt động khác,Chi phí hoạt động kinh doanh khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,680.049,757.103,680049.0,757103.0
