row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
XII,XII,XII,Tài sản Có khác,16,20.828.019,20.758.343,,16.0,20828019.0,20758343.0
1,1,1,Các khoản phải thu,,14.092.677,11.983.848,,,14092677.0,11983848.0
2,2,2,"Các khoản lãi, phí phải thu",,2.634.679,4.022.370,,,2634679.0,4022370.0
4,4,4,Tài sản Có khác,,5.086.742,5.441.169,,,5086742.0,5441169.0
5,5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(986.079),(689.044),,,-986079.0,-689044.0
,,,TỔNG TÀI SẢN,,176.830.555,157.085.449,,,176830555.0,157085449.0
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,,,,,,
,,,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,17,20.734,24.040,,17.0,20734.0,24040.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,56.259.892,47.248.519,,18.0,56259892.0,47248519.0
1,B > 1,1,Tiền gửi của các TCTD khác,,22.681.457,19.442.215,,,22681457.0,19442215.0
2,B > 2,2,Vay các TCTD khác,,33.578.435,27.806.304,,,33578435.0,27806304.0
III,B > III,III,Tiền gửi của khách hàng,19,87.568.686,80.896.535,,19.0,87568686.0,80896535.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,52.030,7.416,,8.0,52030.0,7416.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,11.631.474,8.892.781,,20.0,11631474.0,8892781.0
VII,B > VII,VII,Các khoản nợ khác,21,4.463.897,5.184.215,,21.0,4463897.0,5184215.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.559.119,2.116.347,,,1559119.0,2116347.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,2.904.778,3.067.868,,,2904778.0,3067868.0
,,,TỔNG NỘ PHẢI TRẢ,,159.996.713,142.253.506,,,159996713.0,142253506.0
