row_label_raw,row_label_full,Số cuối năm,Tổng giá trị hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng) > Số cuối năm,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày cuối năm) > Tài sản > Số cuối năm,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày cuối năm) > Công nợ > Số cuối năm,numeric__Tổng giá trị hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng) > Số cuối năm,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày cuối năm) > Tài sản > Số cuối năm,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày cuối năm) > Công nợ > Số cuối năm
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,360.190,-,19.990,360190.0,,19990.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.408.950,-,5.414,1408950.0,,5414.0
Cộng,Cộng,Cộng,1.769.140,-,25.404,1769140.0,,25404.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Giao dịch hoán đổi tiền tệ,Số đầu năm > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,1.692.506,21.876,-,1692506.0,21876.0,
Giao dịch kỳ hạn tiền tệ,Số đầu năm > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.388.270,16.831,-,1388270.0,16831.0,
Cộng,Số đầu năm > Cộng,Cộng,3.080.776,38.707,-,3080776.0,38707.0,
