row_label_raw,row_label_full,B -,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
I.,I.,I.,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,V.14,-,2.451.824,,,,2451824.0
1.,1.,1.,"Tiền gửi và vay Chính phủ, NHNN",V.14,-,2.451.824,,,,2451824.0
2.,2.,2.,Giao dịch bán và mua lại trái phiếu Chính phủ với Kho bạc Nhà nước,,-,-,,,,
II.,2. > II.,II.,Tiền gửi và vay các TCTD khác,V.15,18.118.930,23.646.899,,,18118930.0,23646899.0
1.,2. > 1.,1.,Tiền gửi của các TCTD khác,V.15,15.268.267,19.623.547,,,15268267.0,19623547.0
2.,2. > 2.,2.,Vay các TCTD khác,V.15,2.850.663,4.023.352,,,2850663.0,4023352.0
III.,2. > III.,III.,Tiền gửi của khách hàng,V.16,56.897.722,52.195.871,,,56897722.0,52195871.0
IV.,2. > IV.,IV.,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,V.5,25.404,-,,,25404.0,
V.,V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,-,-,,,,
VI.,V. > VI.,VI.,Phát hành giấy tờ có giá,V.17,3.459.091,-,,,3459091.0,
VII.,V. > VII.,VII.,Các khoản nợ khác,,2.713.897,2.282.013,,,2713897.0,2282013.0
1.,V. > 1.,1.,"Các khoản lãi, phí phải trả",V.18,1.607.566,1.087.458,,,1607566.0,1087458.0
2.,2.,2.,Thuế TNDN hoãn lại phải trả,,-,-,,,,
3.,2. > 3.,3.,Các khoản phải trả và công nợ khác,V.19,1.106.331,1.194.555,,,1106331.0,1194555.0
4.,4.,4.,Dự phòng rủi ro khác (dự phòng cho công nợ tiềm ẩn),,-,-,,,,
,,,Tổng nợ phải trả,,81.215.044,80.576.607,,,81215044.0,80576607.0
VIII.,4. > VIII.,VIII.,Vốn chủ sở hữu,V.20,5.757.558,5.183.574,,,5757558.0,5183574.0
1.,4. > 1.,1.,Vốn của TCTD,,3.618.619,3.618.619,,,3618619.0,3618619.0
a.,4. > a.,a.,Vốn điều lệ,V.20,3.652.819,3.652.819,,,3652819.0,3652819.0
b.,b.,b.,Vốn đầu tư XDCB,,-,-,,,,
c.,c.,c.,Thắng dư vốn cổ phần,,-,-,,,,
d.,c. > d.,d.,Cổ phiếu quỹ,V.20,(34.200),(34.200),,,-34200.0,-34200.0
e.,e.,e.,Cổ phiếu ưu đãi,,-,-,,,,
f.,f.,f.,Vốn khác,,-,-,,,,
2.,f. > 2.,2.,Quỹ của TCTD,"V.20, 21",487.740,406.062,,,487740.0,406062.0
3.,3.,3.,Chênh lệch tỷ giá hối đoái,,-,-,,,,
4.,4.,4.,Chênh lệch đánh giá lại tài sản,,-,-,,,,
5.,4. > 5.,5.,Lợi nhuận chưa phân phối/Lỗ lũy kế,V.20,1.651.199,1.158.893,,,1651199.0,1158893.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,86.972.602,85.760.181,,,86972602.0,85760181.0
