row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai tháctài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai tháctài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,8.845.164,63.003,(50.055),8.858.112,8845164.0,63003.0,-50055.0,8858112.0
Chi phí,Năm nay > Chi phí,Chi phí,8.061.124,55.909,(50.054),8.066.979,8061124.0,55909.0,-50054.0,8066979.0
Chi phí khấu hao tài sản cố định,Năm nay > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,72.486,,-,72.486,72486.0,,,72486.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,711.554,7.094,(1),718.647,711554.0,7094.0,-1.0,718647.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,6.379.155,58.603,(33.026),6.404.732,6379155.0,58603.0,-33026.0,6404732.0
Chi phí,Năm trước > Chi phí,Chi phí,5.628.630,59.790,(32.703),5.655.717,5628630.0,59790.0,-32703.0,5655717.0
Chi phí khấu hao tài sản cố định,Năm trước > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,66.796,356,-,67.152,66796.0,356.0,,67152.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,683.729,(1.543),(323),681.863,683729.0,-1543.0,-323.0,681863.0
