row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm máy tính,Tài sản cố định khác,Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm máy tính,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,686.287,114.325,20.014,820.626,686287.0,114325.0,20014.0,820626.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,34.234,-,34.234,,34234.0,,34234.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,686.287,148.559,20.014,854.860,686287.0,148559.0,20014.0,854860.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,51.637,7.870,59.507,,51637.0,7870.0,59507.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,10.483,69.798,15.176,95.457,10483.0,69798.0,15176.0,95457.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,1.840,14.836,1.820,18.496,1840.0,14836.0,1820.0,18496.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,12.323,84.634,16.996,113.953,12323.0,84634.0,16996.0,113953.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,675.804,44.527,4.838,725.169,675804.0,44527.0,4838.0,725169.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,673.964,63.925,3.018,740.907,673964.0,63925.0,3018.0,740907.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,-,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,-,,,,
