row_label_raw,row_label_full,Số đầu năm,Năm nay > 49.220,Năm trước > 10.124,numeric__Năm nay > 49.220,numeric__Năm trước > 10.124
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,-,40.364,,40364.0
Chi quỹ,Chi quỹ,Chi quỹ,(42.805),(1.268),-42805.0,-1268.0
Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,6.415,49.220,6415.0,49220.0
