row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Cộng > Năm nay,Cộng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Cộng > Năm nay,numeric__Cộng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.622.984,1.035.565,1.226.176,834.608,6.903.413,6.074.801,(894.539),(1.540.252),8.858.034,6.404.722,1622984.0,1035565.0,1226176.0,834608.0,6903413.0,6074801.0,-894539.0,-1540252.0,8858034.0,6404722.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,1.253.602,892.232,1.183.902,783.311,6.236.464,5.240.960,(894.539),(1.540.252),7.779.429,5.376.251,1253602.0,892232.0,1183902.0,783311.0,6236464.0,5240960.0,-894539.0,-1540252.0,7779429.0,5376251.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,363.840,128.318,23.276,45.113,169.196,249.264,-,-,556.312,422.695,363840.0,128318.0,23276.0,45113.0,169196.0,249264.0,,,556312.0,422695.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,5.542,15.015,18.998,6.184,497.753,584.577,-,-,522.293,605.776,5542.0,15015.0,18998.0,6184.0,497753.0,584577.0,,,522293.0,605776.0
II. Chi phí,II. Chi phí,II. Chi phí,1.063.162,639.227,1.133.437,733.091,6.419.407,5.418.400,(894.539),(1.540.252),7.721.467,5.250.466,1063162.0,639227.0,1133437.0,733091.0,6419407.0,5418400.0,-894539.0,-1540252.0,7721467.0,5250466.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,948.702,537.365,937.131,548.787,4.750.029,3.738.830,(894.539),(1.540.252),5.741.323,3.284.730,948702.0,537365.0,937131.0,548787.0,4750029.0,3738830.0,-894539.0,-1540252.0,5741323.0,3284730.0
2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,764,903,7.638,7.969,64.084,58.280,-,-,72.486,67.152,764.0,903.0,7638.0,7969.0,64084.0,58280.0,,,72486.0,67152.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,113.696,100.959,188.668,176.335,1.605.294,1.621.290,-,-,1.907.658,1.898.584,113696.0,100959.0,188668.0,176335.0,1605294.0,1621290.0,,,1907658.0,1898584.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,559.822,396.338,92.739,101.517,484.006,656.401,-,-,1.136.567,1.154.256,559822.0,396338.0,92739.0,101517.0,484006.0,656401.0,,,1136567.0,1154256.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,37.592,112.906,141.259,63.073,239.069,296.414,-,-,417.920,472.393,37592.0,112906.0,141259.0,63073.0,239069.0,296414.0,,,417920.0,472393.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,522.230,283.432,(48.520),38.444,244.937,359.987,-,-,718.647,681.863,522230.0,283432.0,-48520.0,38444.0,244937.0,359987.0,,,718647.0,681863.0
