row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Dự phòng cụ thể
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số đầu năm nay,Năm nay > Số đầu năm nay,Số đầu năm nay,(323.385),(256.474),-323385.0,-256474.0
Dự phòng rủi ro trích lập trong năm nay,Năm nay > Dự phòng rủi ro trích lập trong năm nay,Dự phòng rủi ro trích lập trong năm nay,(41.150),(376.770),-41150.0,-376770.0
Sử dụng dự phòng trong năm nay,Năm nay > Sử dụng dự phòng trong năm nay,Sử dụng dự phòng trong năm nay,-,374.546,,374546.0
Số dư cuối năm nay,Năm nay > Số dư cuối năm nay,Số dư cuối năm nay,(364.535),(258.698),-364535.0,-258698.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số đầu năm trước,Năm trước > Số đầu năm trước,Số đầu năm trước,(260.629),(106.187),-260629.0,-106187.0
Dự phòng rủi ro trích lập trong năm trước,Năm trước > Dự phòng rủi ro trích lập trong năm trước,Dự phòng rủi ro trích lập trong năm trước,(62.756),(409.637),-62756.0,-409637.0
Sử dụng dự phòng trong năm trước,Năm trước > Sử dụng dự phòng trong năm trước,Sử dụng dự phòng trong năm trước,-,259.350,,259350.0
Số cuối năm trước,Năm trước > Số cuối năm trước,Số cuối năm trước,(323.385),(256.474),-323385.0,-256474.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,,
,,,Số cuối năm,Số đầu năm,,
Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,,
Dự phòng chung,Dự phòng rủi ro cho vay khách hàng: > Dự phòng chung,Dự phòng chung,(364.535),(323.385),-364535.0,-323385.0
Dự phòng cụ thể,Dự phòng rủi ro cho vay khách hàng: > Dự phòng cụ thể,Dự phòng cụ thể,(258.698),(256.474),-258698.0,-256474.0
Cộng,Dự phòng rủi ro cho vay khách hàng: > Cộng,Cộng,(623.233),(579.859),-623233.0,-579859.0
