row_label_raw,row_label_full,13. Chi phí trả trước,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,1.312.276.533,12.054.729.598,1312276533.0,12054729598.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.312.276.533,841.131.598,1312276533.0,841131598.0
Chi phí thuê kho,Chi phí thuê kho,Chi phí thuê kho,-,11.213.598.000,,11213598000.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,533.215.946.173,482.059.295.144,533215946173.0,482059295144.0
"Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu",341.818.912.312,375.957.127.566,341818912312.0,375957127566.0
"Chi phí thuê đất, mặt bằng (1)","Chi phí thuê đất, mặt bằng (1)","Chi phí thuê đất, mặt bằng (1)",93.761.101.351,99.682.213.697,93761101351.0,99682213697.0
Chi phí thuê lại quyền sử dụng đất (2),Chi phí thuê lại quyền sử dụng đất (2),Chi phí thuê lại quyền sử dụng đất (2),90.575.539.796,-,90575539796.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.974.618.326,4.243.918.944,3974618326.0,4243918944.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,3.085.774.388,2.176.034.937,3085774388.0,2176034937.0
Cộng,Cộng,Cộng,534.528.222.706,494.114.024.742,534528222706.0,494114024742.0
