row_label_raw,row_label_full,Khoản mục,Nhà cửa và vật kiến trúc (bao gồm QSĐĐ),Tổng cộng,numeric__Nhà cửa và vật kiến trúc (bao gồm QSĐĐ),numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,698.120.198.637,698.120.198.637,698120198637.0,698120198637.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,13.208.804.402,13.208.804.402,13208804402.0,13208804402.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,896.662.463.805,896.662.463.805,896662463805.0,896662463805.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(594.199.618),(594.199.618),-594199618.0,-594199618.0
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.607.397.267.226,1.607.397.267.226,1607397267226.0,1607397267226.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,136.572.050.213,136.572.050.213,136572050213.0,136572050213.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,56.654.317.147,56.654.317.147,56654317147.0,56654317147.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,193.226.367.360,193.226.367.360,193226367360.0,193226367360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,561.548.148.424,561.548.148.424,561548148424.0,561548148424.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.414.170.899.866,1.414.170.899.866,1414170899866.0,1414170899866.0
