row_label_raw,row_label_full,Khoản mục,Phần mềm,Tổng cộng,numeric__Phần mềm,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.738.772.647,20.738.772.647,20738772647.0,20738772647.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.420.810.831),(1.420.810.831),-1420810831.0,-1420810831.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.317.961.816,19.317.961.816,19317961816.0,19317961816.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.610.659.899,13.610.659.899,13610659899.0,13610659899.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.193.892.092,2.193.892.092,2193892092.0,2193892092.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(768.014.409),(768.014.409),-768014409.0,-768014409.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,15.036.537.582,15.036.537.582,15036537582.0,15036537582.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,7.128.112.748,7.128.112.748,7128112748.0,7128112748.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.281.424.234,4.281.424.234,4281424234.0,4281424234.0
