row_label_raw,row_label_full,Bên cho vay,Thời hạn vay,Số dư (VND),Hình thức đàm bao,numeric__Thời hạn vay,numeric__Số dư (VND),numeric__Hình thức đàm bao
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Từ 06/2020 đến 10/2030,549.265.138.342,"- Quyền sử dụng đất; tài sản hình thành trong tương lai phát sinh từ Hợp đồng thuê đất tại dự án Trung Tâm Thương mại TTC Plaza Đức Trọng thuộc sở hữu của một bên thứ ba; cổ phần của một bên thứ ba; quyền sử dụng đất tại đặc khu Phú Quốc, tinh An Giang (mói) thuộc sở hữu của một bên liên quan.- Quyền tài sản phát sinh từ Hợp đồng mua bán giữa Công ty và bên liên quan; Dự án khu phức hợp Vịnh Đảm thuộc sở hữu của một bên liên quan.",,549265138342.0,
Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Từ 03/2025 đến 03/2040,828.200.000.000,"- Các quyền tài sản phát sinh từ quyền sử dụng đất thuê trả tiền hằng năm và tài sản gắn liền với đất tại các thừa đất tại phường Tràng Bàng, tỉnh Tây Ninh (mói). Quyền tài sản phát sinh từ Quyền sử dụng đất và công trình xây dựng trên đất tại 266-268 Nam Kỳ Khởi Nghĩa, phường Xuân Hòa, thành phố Hồ Chí Minh.",,828200000000.0,
