row_label_raw,row_label_full,Người mua trả tiền trước,Nội dung nghiệp vụ,31/12/2025,01/01/2025,numeric__Nội dung nghiệp vụ,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Lãi vay,-,(3.368.649.088),,,-3368649088.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Lãi vay,-,(218.578.852),,,-218578852.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Khác,(603.854.906),(603.854.906),,-603854906.0,-603854906.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Thu hộ,(242.849.376),-,,-242849376.0,
Công Ty TNHH Thương Tín - CJ Cầu Tre,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công Ty TNHH Thương Tín - CJ Cầu Tre,Công Ty TNHH Thương Tín - CJ Cầu Tre,Thu hộ,-,(539.000.000),,,-539000000.0
Công ty TNHH MTV TTC Land Retail Management,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Khác,-,(933.500.700),,,-933500700.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Khác,-,(50.000.000),,,-50000000.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Lãi vay,(143.507),(84.824.803),,-143507.0,-84824803.0
Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,Lãi vay,-,(212.439.450),,,-212439450.0
Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,Đặt cọc,-,(4.921.579.000),,,-4921579000.0
Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,Công ty Cổ phần Khu công nghiệp Thành Thành Công > Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,Công ty Cổ phần Công nghiệp phụ trợ S&D Cộng,,(226.265.020.813),(261.337.262.514),,-226265020813.0,-261337262514.0
