row_label_raw,row_label_full,1. Tiền và các khoản tương đương tiền,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Tiền,Tiền,Tiền,134.542.037.874,104.932.708.267,134542037874.0,104932708267.0
Tiền mặt,Tiền mặt,Tiền mặt,-,143.563.184,,143563184.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,134.542.037.874,104.789.145.083,134542037874.0,104789145083.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,58.651.227.493,22.873.522.221,58651227493.0,22873522221.0
Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),58.651.227.493,22.873.522.221,58651227493.0,22873522221.0
Cộng,Cộng,Cộng,193.193.265.367,127.806.230.488,193193265367.0,127806230488.0
